a	(-AH_)
jogging	(JH-AA_)(G-IH_NG)
jogs	(JH-AA_GZ)
joh	(JH-OW_)
johan	(Y-OW_)(HH-AA_N)
johann	(Y-OW_)(HH-AA_N)
johanna	(JH-AH_)(HH-AE_)(N-AH_)
johannes	(JH-OW_)(HH-AE_)(N-AH_S)
johannesburg	(JH-OW_)(HH-AE_)(N-IH_S)(B-ER_G)
johannesen	(JH-OW_)(HH-AE_)(N-IH_)(S-AH_N)
johannessen	(JH-OW_)(HH-AE_)(N-IH_)(S-AH_N)
johanning	(Y-OW_)(HH-AE_)(N-IH_NG)
johanns	(Y-OW_)(HH-AA_NZ)
johannsen	(JH-OW_)(HH-AE_N)(S-AH_N)
johansen	(JH-OW_)(HH-AE_N)(S-AH_N)
johanson	(JH-OW_)(HH-AE_N)(S-AH_N)
johansson	(Y-OW_)(HH-AA_N)(S-AH_N)
john	(JH-AA_N)
johnathon	(JH-AA_)(N-AH_)(TH-AH_N)
johndrow	(JH-AA_N)(DR-OW_)
johnie	(JH-AA_)(N-IY_)
johnnie	(JH-AA_)(N-IY_)
johnny	(JH-AA_)(N-IY_)
johns	(JH-AA_NZ)
johnsen	(JH-AA_N)(S-AH_N)
johnsey	(JH-AA_N)(Z-IY_)
johnson	(JH-AA_N)(S-AH_N)
johnsons	(JH-AA_N)(S-AH_NZ)
johnsrud	(JH-AA_NS)(R-AH_D)
johnston	(JH-AA_N)(ST-AH_N)
johnstone	(JH-AA_N)(ST-OW_N)
johnstown	(JH-AA_NZ)(T-AW_N)
johnta	(JH-AA_N)(T-AH_)
johny	(JH-AA_)(N-IY_)
johson	(JH-AA_)(S-AH_N)
joice	(JH-OY_S)
joie	(W-AA_)
join	(JH-OY_N)
joined	(JH-OY_ND)
joiner	(JH-OY_)(N-ER_)
joinery	(JH-OY_)(N-ER_)(-IY_)
joines	(JH-OY_NZ)
joining	(JH-OY_)(N-IH_NG)
joins	(JH-OY_NZ)
joint	(JH-OY_NT)
jointed	(JH-OY_N)(T-AH_D)
jointly	(JH-OY_NT)(L-IY_)
jointness	(JH-OY_NT)(N-AH_S)
joints	(JH-OY_NTS)
joist	(JH-OY_ST)
joists	(JH-OY_STS)
jojola	(Y-OW_)(Y-OW_)(L-AH_)
joke	(JH-OW_K)
jokebook	(JH-OW_K)(B-UH_K)
joked	(JH-OW_KT)
jokela	(JH-AA_)(K-IH_)(L-AH_)
joker	(JH-OW_)(K-ER_)
jokers	(JH-OW_)(K-ER_Z)
jokerst	(JH-AA_)(K-ER_ST)
jokes	(JH-OW_KS)
jokhang	(JH-AA_K)(HH-AE_NG)
joki	(JH-OW_)(K-IY_)
jokinen	(JH-AH_)(K-IH_)(N-AH_N)
joking	(JH-OW_)(K-IH_NG)
jokingly	(JH-OW_)(K-IH_N)(GL-IY_)
jolene	(JH-OW_)(L-IY_N)
joles	(JH-OW_LZ)
joletta	(JH-OW_)(L-EH_)(T-AH_)
jolette	(JH-OW_)(L-EH_T)
jolicoeur	(ZH-AA_)(L-IH_)(K-ER_)
joliet	(JH-OW_)(L-IY_)(-EH_T)
jolin	(JH-OW_)(L-IH_N)
jolivette	(ZH-AA_)(L-IH_)(V-EH_T)
jolla	(HH-OY_)(Y-AH_)
jolley	(JH-AA_)(L-IY_)
jollie	(JH-AA_)(L-IY_)
jollies	(JH-AA_)(L-IY_Z)
jolliff	(JH-AA_)(L-IH_F)
jolliffe	(JH-AA_)(L-IH_F)
jolly	(JH-AA_)(L-IY_)
jollying	(JH-AA_)(L-IY_)(-IH_NG)
jolson	(JH-OW_L)(S-AH_N)
jolt	(JH-OW_LT)
jolted	(JH-OW_L)(T-IH_D)
jolting	(JH-OW_L)(T-IH_NG)
jolts	(JH-OW_LTS)
joly	(JH-OW_)(L-IY_)
jon	(JH-AA_N)
jonah	(JH-OW_)(N-AH_)
jonas	(JH-OW_)(N-AH_S)
jonassaint	(JH-OW_)(N-AH_)(S-EY_NT)
jonassen	(JH-AA_)(N-AH_)(S-AH_N)
jonathan	(JH-AA_)(N-AH_)(TH-AH_N)
jonathon	(JH-AA_)(N-AH_)(TH-AH_N)
jonbenet	(JH-AO_N)(B-IH_)(N-EY_)
joncas	(JH-AA_NG)(K-AH_Z)
jone	(JH-OW_N)
jones	(JH-OW_NZ)
jonesboro	(JH-OW_NZ)(B-AH_)(R-OW_)
joneses	(JH-OW_N)(Z-IH_Z)
jonestown	(JH-OW_NZ)(T-AW_N)
jong	(JH-AO_NG)
joni	(JH-OW_)(N-IY_)
jonker	(JH-AA_NG)(K-ER_)
jonn	(JH-AA_N)
jonothan	(JH-AA_)(N-AH_)(TH-AH_N)
jonsman	(JH-AA_NZ)(M-AH_N)
jonson	(JH-AA_N)(S-AH_N)
jonsson	(JH-AA_N)(S-AH_N)
joo	(JH-UW_)
joon	(JH-UW_N)
joong	(JH-UH_NG)
joos	(JH-UW_Z)
joost	(JH-UW_ST)
joosten	(Y-UW_)(S-AH_N)
joplin	(JH-AA_)(PL-IH_N)
jopling	(JH-OW_)(P-AH_)(L-IH_NG)
jopp	(JH-AA_P)
jordache	(JH-AO_R)(D-AE_SH)
jordahl	(JH-AO_R)(D-AA_L)
jordan	(JH-AO_R)(D-AH_N)
jordana	(Y-AO_R)(D-AE_)(N-AH_)
jordanian	(JH-AO_R)(D-EY_)(N-IY_)(-AH_N)
jordanians	(JH-AO_R)(D-EY_)(N-IY_)(-AH_NZ)
jordans	(JH-AO_R)(D-AH_NZ)
jorde	(JH-AO_RD)
jorden	(JH-AO_R)(D-AH_N)
jordy	(JH-AO_R)(D-IY_)
jorge	(HH-AO_R)(HH-EY_)
jorgensen	(JH-AO_R)(G-AH_N)(S-AH_N)
jorgenson	(JH-AO_R)(G-IH_N)(S-AH_N)
jorio	(JH-AO_)(R-IY_)(-OW_)
jornal	(JH-AO_R)(N-AH_L)
jorstad	(JH-AO_R)(ST-AH_D)
jory	(JH-AO_)(R-IY_)
jos	(JH-OW_Z)
josceline	(JH-AA_)(S-IH_)(L-AY_N)
joscelyn	(JH-AA_)(S-IH_)(L-IH_N)
joscelyne	(JH-AA_)(S-IH_)(L-AY_N)
jose	(HH-OW_)(Z-EY_)
josef	(JH-OW_)(S-AH_F)
joseph	(JH-OW_)(S-AH_F)
josepha	(JH-OW_)(S-EH_)(F-AH_)
josephina	(JH-AA_)(S-IH_)(F-AY_)(N-AH_)
josephine	(JH-OW_)(S-AH_)(F-IY_N)
josephs	(JH-OW_)(S-IH_FS)
josephson	(JH-OW_)(S-AH_F)(S-AH_N)
josephthal	(JH-OW_)(S-AH_F)(TH-AO_L)
josephus	(JH-OW_)(S-IY_)(F-AH_S)
joser	(JH-OW_)(Z-ER_)
josette	(ZH-AH_)(S-EH_T)
josey	(JH-OW_)(Z-IY_)
josh	(JH-AA_SH)
joshi	(JH-OW_)(SH-IY_)
joshua	(JH-AA_)(SH-UW_)(-AH_)
josiah	(JH-OW_)(S-AY_)(-AH_)
josie	(JH-OW_)(Z-IY_)
josleyn	(JH-AA_)(SL-IH_N)
joslin	(JH-AA_)(SL-IH_N)
joslyn	(JH-AO_)(SL-IH_N)
jospin	(JH-AA_)(SP-IH_N)
joss	(JH-AO_S)
josselyn	(JH-AA_)(S-IH_)(L-IH_N)
jost	(JH-AA_ST)
josten	(JH-AA_)(S-AH_N)
jostens	(JH-AO_)(ST-AH_NZ)
jostes	(JH-OW_STS)
jostle	(JH-AA_)(S-AH_L)
jostled	(JH-AA_)(S-AH_LD)
jostling	(JH-AA_)(S-AH_)(L-IH_NG)
joswick	(JH-AA_)(SW-IH_K)
jot	(JH-AA_T)
jotted	(JH-AA_)(T-IH_D)
joubert	(Y-AW_)(B-ER_T)
jouett	(JH-AA_)(-UW_T)
joule	(JH-UW_L)
joules	(JH-UW_LZ)
joulwan	(JH-UW_L)(W-AA_N)
jour	(JH-AW_R)
jourdan	(ZH-UH_R)(D-AE_N)
jouret	(W-AA_)(R-EY_)
journal	(JH-ER_)(N-AH_L)
journalese	(JH-ER_)(N-AH_)(L-IY_Z)
journalism	(JH-ER_)(N-AH_)(L-IH_)(Z-AH_M)
journalist	(JH-ER_)(N-AH_)(L-AH_ST)
journalistic	(JH-ER_)(N-AH_)(L-IH_)(ST-IH_K)
journalistically	(JH-ER_)(N-AH_)(L-IH_)(ST-IH_)(K-AH_)(L-IY_)
journalists	(JH-ER_)(N-AH_)(L-AH_STS)
journals	(JH-ER_)(N-AH_LZ)
journey	(JH-ER_)(N-IY_)
journeyed	(JH-ER_)(N-IY_D)
journeying	(JH-ER_)(N-IY_)(-IH_NG)
journeyman	(JH-ER_)(N-IY_)(M-AE_N)
journeys	(JH-ER_)(N-IY_Z)
joust	(JH-AW_ST)
jousting	(JH-AW_)(ST-IH_NG)
jovan	(JH-OW_)(V-AH_N)
jovanovic	(Y-AH_)(V-AH_)(N-AA_)(V-IH_K)
jovanovich	(JH-OW_)(V-AE_)(N-AH_)(V-IH_CH)
jovi	(JH-OW_)(V-IY_)
jovial	(JH-OW_)(V-IY_)(-AH_L)
jovian	(JH-OW_)(V-IY_)(-AH_N)
jovita	(Y-AH_)(V-AY_)(T-AH_)
jovito	(JH-OW_)(V-IY_)(T-OW_)
jowers	(JH-AW_)(-ER_Z)
jowett	(JH-AW_)(-IH_T)
jowl	(JH-AW_L)
jowley	(JH-OW_)(L-IY_)
jowls	(JH-AW_LZ)
jowly	(JH-AW_)(L-IY_)
joy	(JH-OY_)
joyal	(JH-OY_)(-AH_L)
joyce	(JH-OY_S)
joycelyn	(JH-OY_)(SL-IH_N)
joye	(JH-OY_)
joyful	(JH-OY_)(F-AH_L)
joyfully	(JH-OY_)(F-AH_)(L-IY_)
joying	(JH-OY_)(-IH_NG)
joyner	(JH-OY_)(N-ER_)
joynes	(JH-OY_NZ)
joynt	(JH-OY_NT)
joyoni	(JH-OY_)(-OW_)(N-IY_)
joyous	(JH-OY_)(-AH_S)
joyride	(JH-OY_)(R-AY_D)
joyriding	(JH-OY_)(R-AY_)(D-IH_NG)
joys	(JH-OY_Z)
joystick	(JH-OY_)(ST-IH_K)
jozef	(JH-OW_)(Z-AH_F)
jozwiak	(Y-AA_Z)(V-IY_)(-AE_K)
jr	(JH-UW_N)(Y-ER_)
ju	(JH-UW_)
jua	(JH-UW_)(-AH_)
juan	(W-AA_N)
juana	(W-AA_)(N-AH_)
juanita	(W-AA_)(N-IY_)(T-AH_)
juarez	(W-AA_)(R-EH_Z)
juba	(JH-UW_)(B-AH_)
jubb	(JH-AH_B)
jubilant	(JH-UW_)(B-AH_)(L-AH_NT)
jubilation	(JH-UW_)(B-AH_)(L-EY_)(SH-AH_N)
jubilee	(JH-UW_)(B-AH_)(L-IY_)
juckett	(JH-AH_)(K-IH_T)
judah	(JH-UW_)(D-AH_)
judaism	(JH-UW_)(D-EY_)(-IH_)(Z-AH_M)
judas	(JH-UW_)(D-AH_S)
juday	(JH-UW_)(D-EY_)
judd	(JH-AH_D)
judds	(JH-AH_DZ)
jude	(JH-UW_D)
judea	(JH-UW_)(D-IY_)(-AH_)
judeo	(JH-UW_)(D-EY_)(-OW_)
judge	(JH-AH_JH)
judged	(JH-AH_JHD)
judgement	(JH-AH_JH)(M-AH_NT)
judgemental	(JH-AH_JH)(M-EH_N)(T-AH_L)
judgements	(JH-AH_JH)(M-AH_NTS)
judges	(JH-AH_)(JH-IH_Z)
judgeship	(JH-AH_JH)(SH-IH_P)
judgeships	(JH-AH_JH)(SH-IH_PS)
judging	(JH-AH_)(JH-IH_NG)
judgment	(JH-AH_JH)(M-AH_NT)
judgmental	(JH-AH_JH)(M-EH_N)(T-AH_L)
judgments	(JH-AH_JH)(M-AH_NTS)
judicate	(JH-UW_)(D-IH_)(K-EY_T)
judice	(JH-UW_)(D-IH_S)
judicial	(JH-UW_)(D-IH_)(SH-AH_L)
judicially	(JH-UW_)(D-IH_)(SH-AH_)(L-IY_)
judiciary	(JH-UW_)(D-IH_)(SH-IY_)(-EH_)(R-IY_)
judicious	(JH-UW_)(D-IH_)(SH-AH_S)
judiciously	(JH-UW_)(D-IH_)(SH-IH_)(SL-IY_)
judie	(JH-AH_)(D-IY_)
judishe	(JH-UW_)(D-IY_SH)
judith	(JH-UW_)(D-AH_TH)
juditha	(JH-UW_)(D-IH_)(TH-AH_)
judkins	(JH-AH_D)(K-IH_NZ)
judo	(JH-UW_)(D-OW_)
judsen	(JH-AH_D)(S-AH_N)
judson	(JH-AH_D)(S-AH_N)
judy	(JH-UW_)(D-IY_)
jue	(JH-UW_)
juedes	(W-EH_)(D-EH_S)
juel	(JH-UW_L)
juenemann	(Y-UW_N)(M-AH_N)
juenger	(Y-UW_NG)(G-ER_)
juergen	(Y-ER_)(G-AH_N)
juergens	(Y-ER_)(G-AH_NZ)
jueteng	(JH-UW_)(T-EH_NG)
juett	(JH-UW_T)
jug	(JH-AH_G)
juge	(JH-UW_JH)
juggernaut	(JH-AH_)(G-ER_)(N-AO_T)
juggle	(JH-AH_)(G-AH_L)
juggled	(JH-AH_)(G-AH_LD)
juggler	(JH-AH_)(G-AH_)(L-ER_)
jugglers	(JH-AH_)(G-AH_)(L-ER_Z)
juggles	(JH-AH_)(G-AH_LZ)
juggling	(JH-AH_)(G-AH_)(L-IH_NG)
jugs	(JH-AH_GZ)
jugular	(JH-UW_)(GY-AH_)(L-ER_)
juhas	(JH-UW_)(-AH_Z)
juhasz	(Y-AH_)(HH-AH_SH)
juhl	(JH-AH_L)
juhlin	(JH-UW_)(L-IH_N)
juhnke	(JH-AH_NGK)
juice	(JH-UW_S)
juices	(JH-UW_)(S-AH_Z)
juicier	(JH-UW_)(-IH_S)(Y-ER_)
juiciest	(JH-UW_)(S-IY_)(-AH_ST)
juicy	(JH-UW_)(S-IY_)
juilliard	(JH-UW_)(L-IY_)(-AA_RD)
jujitsu	(JH-UW_)(JH-IH_T)(S-UW_)
jujo	(JH-UW_)(JH-OW_)
juju	(JH-UW_)(JH-UW_)
juke	(JH-UW_K)
jukebox	(JH-UW_K)(B-AA_KS)
jukeboxes	(JH-UW_K)(B-AA_K)(S-IH_Z)
jukes	(JH-UW_KS)
juki	(JH-UW_)(K-IY_)
jule	(JH-UW_L)
julep	(JH-UW_)(L-AH_P)
juleps	(JH-UW_)(L-AH_PS)
jules	(JH-UW_LZ)
juli	(JH-UW_)(L-IY_)
julia	(JH-UW_L)(Y-AH_)
julian	(JH-UW_)(L-IY_)(-AH_N)
juliana	(JH-UW_)(L-IY_)(-AE_)(N-AH_)
juliann	(JH-UW_)(L-IY_)(-AE_N)
julianne	(JH-UW_)(L-IY_)(-EH_N)
juliano	(JH-UW_)(L-IY_)(-AA_)(N-OW_)
julie	(JH-UW_)(L-IY_)
julien	(JH-UW_)(L-IY_)(-AH_N)
juliet	(JH-UW_)(L-IY_)(-EH_T)
julieta	(Y-UW_)(L-IY_)(T-AH_)
julietta	(JH-UW_)(L-IY_)(-EH_)(T-AH_)
juliette	(JH-UW_)(L-IY_)(-EH_T)
julin	(JH-UW_)(L-IH_N)
julina	(Y-UW_)(L-IY_)(N-AH_)
juline	(JH-UW_)(L-AY_N)
julio	(JH-UW_)(L-IY_)(-OW_)
julius	(JH-UW_L)(Y-AH_S)
juliusz	(JH-UW_)(L-IY_)(-UW_S)
julliard	(JH-UW_)(L-IY_)(-AA_RD)
julson	(JH-AH_L)(S-AH_N)
july	(JH-UW_)(L-AY_)
jumanji	(JH-UW_)(M-AA_N)(JH-IY_)
jumble	(JH-AH_M)(B-AH_L)
jumbled	(JH-AH_M)(B-AH_LD)
jumbo	(JH-AH_M)(B-OW_)
jumbos	(JH-AH_M)(B-OW_Z)
jumbotron	(JH-AH_M)(B-OW_)(TR-AO_N)
jumbotrons	(JH-AH_M)(B-OW_)(TR-AO_NZ)
jumonville	(ZH-AH_)(M-AH_N)(V-IH_L)
jump	(JH-AH_MP)
jumped	(JH-AH_MPT)
jumper	(JH-AH_M)(P-ER_)
jumpers	(JH-AH_M)(P-ER_Z)
jumping	(JH-AH_M)(P-IH_NG)
jumps	(JH-AH_MPS)
jumpstart	(JH-AH_MP)(ST-AA_RT)
jumpsuit	(JH-AH_MP)(S-UW_T)
jumpy	(JH-AH_M)(P-IY_)
jun	(JH-AH_N)
junco	(JH-AH_NG)(K-OW_)
junction	(JH-AH_NGK)(SH-AH_N)
juncture	(JH-AH_NGK)(CH-ER_)
junctures	(JH-AH_NGK)(CH-ER_Z)
junda	(JH-AH_N)(D-AH_)
jundt	(JH-AH_NT)
june	(JH-UW_N)
juneau	(JH-UW_)(N-OW_)
junejo	(JH-UW_)(N-EY_)(HH-OW_)
junek	(JH-UW_)(N-IH_K)
junella	(JH-UW_)(N-EH_)(L-AH_)
junes	(JH-UW_NZ)
junette	(JH-UW_)(N-EH_T)
jung	(Y-UH_NG)
jungbluth	(JH-AH_NG)(BL-UW_TH)
junge	(JH-AH_NG)
jungels	(JH-AH_NG)(G-AH_LZ)
junger	(JH-AH_N)(G-ER_)
jungers	(JH-AH_N)(G-ER_Z)
junghans	(JH-AH_NG)(G-AH_NZ)
jungle	(JH-AH_NG)(G-AH_L)
jungles	(JH-AH_NG)(G-AH_LZ)
jungman	(JH-AH_NG)(M-AH_N)
jungwirth	(JH-AH_NG)(GW-ER_TH)
junia	(Y-UW_)(N-IY_)(-AH_)
juniata	(Y-UW_)(N-IY_)(-AA_)(T-AH_)
junine	(JH-AH_)(N-IH_N)
junior	(JH-UW_N)(Y-ER_)
juniors	(JH-UW_N)(Y-ER_Z)
juniper	(JH-UW_)(N-AH_)(P-ER_)
junipers	(JH-UW_)(N-IH_)(P-ER_Z)
junius	(JH-UW_)(N-IY_)(-IH_S)
junji	(JH-AH_N)(JH-IY_)
junk	(JH-AH_NGK)
junkbond	(JH-AH_NGK)(B-AA_ND)
junked	(JH-AH_NGKT)
junker	(JH-AH_NG)(K-ER_)
junket	(JH-AH_NG)(K-IH_T)
junkets	(JH-AH_NG)(K-IH_TS)
junkholder	(JH-AH_NGK)(HH-OW_L)(D-ER_)
junkholders	(JH-AH_NGK)(HH-OW_L)(D-ER_Z)
junkie	(JH-AH_NG)(K-IY_)
junkier	(JH-AH_NG)(K-IY_)(-ER_)
junkies	(JH-AH_NG)(K-IY_Z)
junkiest	(JH-AH_NG)(K-IY_)(-AH_ST)
junkin	(JH-AH_NG)(K-IH_N)
junking	(JH-AH_NG)(K-IH_NG)
junkins	(JH-AH_NG)(K-IH_NZ)
junky	(JH-AH_NG)(K-IY_)
junkyard	(JH-AH_NG)(KY-AA_RD)
junkyards	(JH-AH_NG)(KY-AA_RDZ)
juno	(JH-UW_)(N-OW_)
junod	(JH-UW_)(N-AH_D)
junot	(JH-UW_)(N-AH_T)
junta	(HH-UH_N)(T-AH_)
juntunen	(JH-AH_N)(T-AH_)(N-AH_N)
jupin	(JH-UW_)(P-IH_N)
jupiter	(JH-UW_)(P-AH_)(T-ER_)
juppe	(JH-UW_)(P-IY_)
jurado	(Y-UH_)(R-AA_)(D-OW_)
juran	(Y-UH_)(R-AA_N)
juranek	(JH-UH_)(R-AH_)(N-IH_K)
juras	(JH-UH_)(R-AH_Z)
jurassic	(JH-UH_)(R-AE_)(S-IH_K)
jurczak	(Y-ER_)(CH-AE_K)
jurczyk	(Y-ER_)(CH-IH_K)
jure	(JH-UH_R)
jurek	(JH-UH_)(R-EH_K)
jurewicz	(JH-UH_)(R-AH_)(V-IH_CH)
jurgen	(JH-ER_)(G-AH_N)
jurgens	(JH-ER_)(G-AH_NZ)
jurgensen	(JH-ER_)(G-IH_N)(S-AH_N)
jurgensmeyer	(JH-ER_)(G-AH_NZ)(M-AY_R)
jurgenson	(JH-ER_)(G-IH_N)(S-AH_N)
jurica	(JH-UH_)(R-IH_)(K-AH_)
jurich	(JH-UH_)(R-IH_K)
juries	(JH-UH_)(R-IY_Z)
juris	(JH-UH_)(R-IH_S)
jurisdiction	(JH-UH_)(R-AH_S)(D-IH_K)(SH-AH_N)
jurisdictional	(JH-UH_)(R-AH_S)(D-IH_K)(SH-AH_)(N-AH_L)
jurisdictions	(JH-UH_)(R-IH_S)(D-IH_K)(SH-AH_NZ)
jurisprudence	(JH-UH_)(R-AH_)(SPR-UW_)(D-AH_NS)
jurisprudential	(JH-UH_)(R-AH_)(SPR-UW_)(D-EH_N)(SH-AH_L)
jurist	(JH-UH_)(R-AH_ST)
jurists	(JH-UH_)(R-IH_STS)
jurkiewicz	(Y-ER_)(K-AH_)(V-IH_CH)
jurkovich	(Y-ER_)(K-AH_)(V-IH_CH)
jurkowski	(Y-ER_)(K-AO_F)(SK-IY_)
jurney	(JH-ER_)(N-IY_)
juror	(JH-UH_)(R-ER_)
jurors	(JH-UH_)(R-ER_Z)
jurs	(JH-ER_Z)
jury	(JH-UH_)(R-IY_)
jusco	(JH-AH_)(SK-OW_)
jusino	(Y-UW_)(S-IY_)(N-OW_)
just	(JH-AH_ST)
justa	(JH-AH_)(ST-AH_)
justen	(JH-AH_)(ST-AH_N)
juster	(JH-AH_)(ST-ER_)
justesen	(JH-AH_)(ST-IY_)(Z-AH_N)
justice	(JH-AH_)(ST-AH_S)
justices	(JH-AH_)(ST-AH_)(S-AH_Z)
justifiable	(JH-AH_)(ST-AH_)(F-AY_)(-AH_)(B-AH_L)
justifiably	(JH-AH_)(ST-AH_)(F-AY_)(-AH_)(BL-IY_)
justification	(JH-AH_)(ST-AH_)(F-AH_)(K-EY_)(SH-AH_N)
justifications	(JH-AH_)(ST-IH_)(F-IH_)(K-EY_)(SH-AH_NZ)
justified	(JH-AH_)(ST-AH_)(F-AY_D)
justifies	(JH-AH_)(ST-AH_)(F-AY_Z)
justify	(JH-AH_)(ST-AH_)(F-AY_)
justifying	(JH-AH_)(ST-AH_)(F-AY_)(-IH_NG)
justin	(JH-AH_)(ST-AH_N)
justina	(Y-UW_)(ST-IY_)(N-AH_)
justine	(JH-AH_)(ST-IY_N)
justiniano	(JH-UW_)(ST-IY_)(N-IY_)(-AA_)(N-OW_)
justino	(JH-AH_)(ST-IY_)(N-OW_)
justis	(Y-UW_)(ST-IH_S)
justiss	(Y-UW_)(ST-IY_S)
justly	(JH-AH_ST)(L-IY_)
justman	(JH-AH_ST)(M-AH_N)
justo	(JH-AH_)(ST-OW_)
justus	(JH-AH_)(ST-AH_S)
justy	(JH-AH_)(ST-IY_)
jut	(JH-AH_T)
jute	(JH-UW_T)
jutland	(JH-AH_T)(L-AH_ND)
jutras	(Y-UW_)(TR-AA_Z)
juts	(JH-AH_TS)
jutting	(JH-AH_)(T-IH_NG)
juul	(JH-UW_)(-AH_L)
juve	(JH-UW_V)
juvenile	(JH-UW_)(V-AH_)(N-AH_L)
juveniles	(JH-UW_)(V-AH_)(N-AH_LZ)
juxtapose	(JH-AH_K)(ST-AH_)(P-OW_Z)
juxtaposed	(JH-AH_K)(ST-AH_)(P-OW_ZD)
juxtaposition	(JH-AH_K)(ST-AH_)(P-AH_)(Z-IH_)(SH-AH_N)
juxtapositions	(JH-AH_K)(ST-AH_)(P-AH_)(Z-IH_)(SH-AH_NZ)
jyishane	(JH-IY_)(SH-EY_N)
jynx	(JH-IH_NGKS)
k	(K-EY_)
ka	(K-AA_)
kaas	(K-AA_Z)
kaatz	(K-AA_TS)
kabart	(K-AH_)(B-AA_RT)
kabat	(K-AE_)(B-AH_T)
kabbalah	(K-AH_)(B-AA_)(L-AH_)
kabbani	(K-AH_)(B-AA_)(N-IY_)
kabel	(K-AE_)(B-AH_L)
kabi	(K-AE_)(B-IY_)
kabivitrum	(K-AH_)(B-IH_)(V-IH_)(TR-AH_M)
kable	(K-EY_)(B-AH_L)
kabler	(K-EY_)(B-AH_)(L-ER_)
kaboom	(K-AH_)(B-UW_M)
kabral	(K-AH_)(BR-AA_L)
kabuki	(K-AH_)(B-UW_)(K-IY_)
kabul	(K-AA_)(B-UH_L)
kacer	(K-EY_)(S-ER_)
kach	(K-AE_CH)
kachel	(K-AE_)(K-AH_L)
kachigian	(K-AH_)(SH-IY_)(G-IY_)(-AH_N)
kachmar	(K-AE_K)(M-ER_)
kachur	(K-AE_)(CH-ER_)
kackley	(K-AE_)(KL-IY_)
kaczmarczyk	(K-AA_CH)(M-ER_)(CH-IH_K)
kaczmarek	(K-AH_CH)(M-AA_)(R-EH_K)
kaczmarski	(K-AH_CH)(M-AA_R)(SK-IY_)
kaczor	(K-AA_)(CH-ER_)
kaczorowski	(K-AH_)(CH-ER_)(-AO_F)(SK-IY_)
kaczynski	(K-AH_)(CH-IH_N)(SK-IY_)
kadar	(K-AE_)(D-ER_)
kade	(K-EY_D)
kadel	(K-AE_)(D-AH_L)
kaden	(K-EY_)(D-AH_N)
kader	(K-EY_)(D-ER_)
kading	(K-EY_)(D-IH_NG)
kadish	(K-EY_)(D-IH_SH)
kadlec	(K-AA_D)(L-IH_K)
kadow	(K-AA_)(D-OW_)
kadrescu	(K-AH_)(DR-EH_)(SKY-UW_)
kadrmas	(K-AE_)(D-ER_)(M-AA_Z)
kadumi	(K-AH_)(D-UW_)(M-IY_)
kady	(K-EY_)(D-IY_)
kaeding	(K-EH_)(D-IH_NG)
kaehler	(K-EH_)(L-ER_)
kael	(K-EY_L)
kaelin	(K-EH_)(L-IH_N)
kaercher	(K-EH_R)(K-ER_)
kaeser	(K-EY_)(Z-ER_)
kaestner	(K-EH_ST)(N-ER_)
kaetzel	(K-EH_T)(Z-AH_L)
kafelnikov	(K-AH_)(F-EH_L)(N-IH_)(K-AO_F)
kafer	(K-EY_)(F-ER_)
kaffenberger	(K-AE_)(F-AH_N)(B-ER_)(G-ER_)
kafka	(K-AA_F)(K-AH_)
kafkaesque	(K-AA_F)(K-AH_)(-EH_SK)
kagami	(K-AE_)(G-AH_)(M-IY_)
kagan	(K-EY_)(G-AH_N)
kagarlitsky	(K-AE_)(G-ER_)(L-IH_T)(SK-IY_)
kagawa	(K-AH_)(G-AA_)(W-AH_)
kage	(K-EY_JH)
kagel	(K-EY_)(G-AH_L)
kagey	(K-EY_)(JH-IY_)
kageyama	(K-AA_)(G-IY_)(-AA_)(M-AH_)
kagin	(K-EY_)(G-IH_N)
kagins	(K-EY_)(G-IH_NZ)
kagler	(K-AE_)(GL-ER_)
kagy	(K-EY_)(G-IY_)
kah	(K-AA_)
kahan	(K-AH_)(HH-AA_N)
kahane	(K-AH_)(HH-AA_)(N-EY_)
kahl	(K-AA_L)
kahle	(K-AA_L)
kahler	(K-AA_)(L-ER_)
kahley	(K-AA_)(L-IY_)
kahn	(K-AA_N)
kahng	(K-AA_NG)
kahr	(K-AA_R)
kahre	(K-EH_R)
kahrs	(K-AA_RZ)
kahuna	(K-AH_)(HH-UW_)(N-AH_)
kai	(K-AY_)
kaifu	(K-AY_)(F-UW_)
kaigler	(K-EY_)(GL-ER_)
kail	(K-EY_L)
kailash	(K-EY_)(L-AH_SH)
kaim	(K-EY_M)
kain	(K-EY_N)
kaine	(K-EY_N)
kainer	(K-EY_)(N-ER_)
kainz	(K-EY_NZ)
kairamo	(K-EH_)(R-AA_)(M-OW_)
kairey	(K-EH_)(R-IY_)
kaiser	(K-AY_)(Z-ER_)
kaiseraugst	(K-AY_)(Z-ER_)(-AO_GST)
kaisertech	(K-AY_)(Z-ER_)(T-EH_K)
kaisha	(K-EY_)(SH-AH_)
kaji	(K-AA_)(JH-IY_)
kajima	(K-AA_)(JH-IY_)(M-AH_)
kajuahar	(K-AH_)(JH-UW_)(-AH_)(HH-AA_R)
kakadu	(K-AA_)(K-AA_)(D-UW_)
kakimoto	(K-AA_)(K-IH_)(M-OW_)(T-OW_)
kakos	(K-EY_)(K-OW_Z)
kaktovik	(K-AE_K)(T-OW_)(V-IH_K)
kakuei	(K-AE_)(KY-UW_)(-IY_)
