a	(AH)
orrick	(AO)(R_IH_K)
orrico	(AO)(R_IY)(K_OW)
orrin	(AO)(R_IH_N)
orris	(AO)(R_IH_S)
orrison	(AO)(R_IH)(S_AH_N)
orsa	(AO_R)(S_AH)
orsak	(AO_R)(S_AH_K)
orsay	(AO_R)(S_EY)
orsborn	(AO_RS)(B_ER_N)
orsburn	(AO_RS)(B_ER_N)
orser	(AO_R)(S_ER)
orsi	(AO_R)(S_IY)
orsini	(AO_R)(S_IY)(N_IY)
orsino	(AO_R)(S_IY)(N_OW)
orso	(AO_R)(S_OW)
orsola	(AO_R)(S_OW)(L_AH)
orson	(AO_R)(S_AH_N)
ort	(AO_RT)
orta	(AO_R)(T_AH)
ortega	(AO_R)(T_EY)(G_AH)
ortegas	(AO_R)(T_EY)(G_AH_S)
ortego	(AO_R)(T_EY)(G_OW)
ortegon	(AO_R)(T_EY)(G_AO_N)
orten	(AO_R)(T_AH_N)
ortenzio	(AO_R)(T_EH_N)(Z_IY)(OW)
ortez	(AO_R)(T_EH_Z)
orth	(AO_RTH)
ortho	(AO_R)(TH_OW)
orthoclase	(AO_R)(TH_AH)(KL_EY_S)
orthodontia	(AO_R)(TH_AH)(D_AA_N)(CH_IY)(AH)
orthodontic	(AO_R)(TH_AH)(D_AA_N)(T_IH_K)
orthodontics	(AO_R)(TH_AH)(D_AA_N)(T_IH_KS)
orthodontist	(AO_R)(TH_AH)(D_AA_N)(T_AH_ST)
orthodontists	(AO_R)(TH_AH)(D_AA_N)(T_AH_STS)
orthodox	(AO_R)(TH_AH)(D_AA_KS)
orthodoxy	(AO_R)(TH_AH)(D_AA_K)(S_IY)
orthography	(AO_R)(TH_AA)(GR_AH)(F_IY)
orthopedic	(AO_R)(TH_AH)(P_IY)(D_IH_K)
orthopedist	(AO_R)(TH_AH)(P_IY)(D_AH_ST)
orthopedists	(AO_R)(TH_AH)(P_IY)(D_AH_STS)
ortis	(AO_R)(T_IH_S)
ortiz	(AO_R)(T_IY_Z)
ortlieb	(AO_RT)(L_IY_B)
ortloff	(AO_RT)(L_AO_F)
ortman	(AO_RT)(M_AH_N)
ortmann	(AO_RT)(M_AH_N)
ortner	(AO_RT)(N_ER)
ortolano	(AO_R)(T_OW)(L_AA)(N_OW)
orton	(AO_R)(T_AH_N)
ortwein	(AO_R)(TW_AY_N)
ortwin	(AO_R)(TW_IH_N)
orum	(AO)(R_AH_M)
orva	(AO_R)(V_AH)
orval	(AO_R)(V_AH_L)
orville	(AO_R)(V_IH_L)
orvin	(AO_R)(V_IH_N)
orvis	(AO_R)(V_IH_S)
orwell	(AO_R)(W_EH_L)
orwellian	(AO_R)(W_EH)(L_IY)(AH_N)
orwick	(AO_R)(W_IH_K)
orwig	(AO_R)(W_IH_G)
ory	(AO)(R_IY)
oryx	(AO)(R_IH_KS)
orzech	(AO_R)(Z_IH_HH)
orzechowski	(AO_R)(Z_IH)(HH_AO_F)(SK_IY)
orzel	(AO_R)(Z_AH_L)
os	(AA_S)
osage	(OW)(S_EY_JH)
osages	(OW)(S_EY)(JH_AH_Z)
osaka	(OW)(S_AA)(K_AH)
osake	(OW)(S_AA)(K_IY)
osaki	(OW)(S_AA)(K_IY)
osakowa	(OW)(S_AH)(K_OW)(AH)
osama	(OW)(S_AA)(M_AH)
osamu	(OW)(S_AA)(M_UW)
osberg	(AA_S)(B_ER_G)
osbert	(AA_S)(B_ER_T)
osbon	(AA_S)(B_AH_N)
osborn	(AO_Z)(B_AO_RN)
osborne	(AO_Z)(B_AO_RN)
osbourn	(AA_S)(B_ER_N)
osbourne	(AA_S)(B_ER_N)
osbun	(AA_S)(B_AH_N)
osburn	(AA_S)(B_ER_N)
osby	(AA_S)(B_IY)
oscalus	(AO)(SK_AH)(L_AH_S)
oscar	(AO)(SK_ER)
oscars	(AO)(SK_ER_Z)
oscarson	(AA)(SK_AA_R)(S_AH_N)
osceola	(AO)(SK_IY)(OW)(L_AH)
oscillate	(AA)(S_AH)(L_EY_T)
oscillates	(AA)(S_AH)(L_EY_TS)
oscillating	(AA)(S_AH)(L_EY)(T_IH_NG)
oscillation	(AA)(S_AH)(L_EY)(SH_AH_N)
oscillations	(AA)(S_AH)(L_EY)(SH_AH_NZ)
oscillator	(AA)(S_AH)(L_EY)(T_ER)
oscillators	(AA)(S_AH)(L_EY)(T_ER_Z)
oscillatory	(AA)(S_AH)(L_AH)(T_AO)(R_IY)
oscilloscope	(AO)(S_IH)(L_AH)(SK_OW_P)
oscilloscopes	(AO)(S_IH)(L_AH)(SK_OW_PS)
osco	(AA)(SK_OW)
ose	(OW_Z)
oseguera	(OW)(S_EY)(G_EH)(R_AH)
oser	(OW)(S_ER)
osgood	(AA_S)(G_UH_D)
osh	(AA_SH)
osha	(OW)(SH_AH)
oshaf	(OW)(SH_AA_F)
oshatz	(OW)(SH_AE_TS)
oshaughnessy	(OW)(SH_AA)(N_IH)(S_IY)
oshawa	(AO)(SH_AA)(W_AH)
oshea	(AA)(SH_IY)(AH)
oshel	(AA)(SH_AH_L)
oshell	(AA)(SH_AH_L)
osher	(AA)(SH_ER)
oshields	(AA)(SH_IY_LDZ)
oshima	(OW)(SH_IY)(M_AH)
oshiro	(OW)(SH_IH)(R_OW)
oshita	(OW)(SH_IY)(T_AH)
oshkosh	(AO_SH)(K_AO_SH)
oshman	(AO_SH)(M_AH_N)
osiecki	(AH)(S_IY_T)(SK_IY)
osika	(AH)(S_AY)(K_AH)
osinski	(AH)(S_IH_N)(SK_IY)
oskar	(AO)(SK_ER)
osland	(AA)(SL_AH_ND)
osler	(AA_Z)(L_ER)
osley	(AA)(SL_IY)
oslin	(AA)(SL_IH_N)
oslo	(AA_Z)(L_OW)
oslund	(AA)(SL_AH_ND)
osman	(AA)(SM_AH_N)
osmar	(AA)(SM_ER)
osmena	(AO_Z)(M_IY)(N_AH)
osment	(AA)(SM_AH_NT)
osmer	(AA)(S_AH)(M_ER)
osmium	(AA_Z)(M_IY)(AH_M)
osmon	(AA)(SM_AH_N)
osmond	(AA)(SM_AH_ND)
osmonds	(AO_Z)(M_AH_NDZ)
osmosis	(AO_Z)(M_OW)(S_IH_S)
osmotic	(AA_Z)(M_AA)(T_AH_K)
osmun	(AA_Z)(M_AH_N)
osmund	(AA)(SM_AH_ND)
osmundson	(AA_Z)(M_AH_ND)(S_AH_N)
osorio	(OW)(S_AO)(R_IY)(OW)
osowski	(AH)(S_AO_F)(SK_IY)
ospina	(OW)(SP_IY)(N_AH)
osprey	(AO)(SPR_IY)
osred	(AA)(S_ER_D)
osric	(AA_Z)(R_IH_K)
oss	(AO_S)
ossa	(AA)(S_AH)
ossetia	(AA)(S_EH_SH)(Y_AH)
ossetian	(AA)(S_EH_SH)(Y_IH_N)
ossetians	(AA)(S_EH_SH)(Y_IH_NZ)
ossicles	(AA)(S_AH)(K_AH_LZ)
ossification	(AA)(S_AH)(F_AH)(K_EY)(SH_AH_N)
ossified	(AA)(S_AH)(F_AY_D)
ossify	(AA)(S_AH)(F_AY)
ossman	(AA)(SM_AH_N)
osso	(OW)(S_OW)
osswald	(AA)(SW_AH_LD)
ost	(OW_ST)
ostankino	(AA)(ST_AH_N)(K_IH)(N_OW)
ostberg	(AA_ST)(B_ER_G)
ostby	(AA_ST)(B_IY)
osteen	(AA)(ST_IY_N)
osten	(AA)(S_AH_N)
ostendorf	(AA)(ST_AH_N)(D_AO_RF)
ostensible	(AA)(ST_EH_N)(S_AH)(B_AH_L)
ostensibly	(AA)(ST_EH_N)(S_AH)(BL_IY)
ostenson	(AA)(ST_IH_N)(S_AH_N)
ostentation	(AO)(ST_EH_N)(T_EY)(SH_AH_N)
ostentatious	(AA)(ST_AH_N)(T_EY)(SH_AH_S)
ostentatiously	(AA)(ST_AH_N)(T_EY)(SH_AH)(SL_IY)
osteoarthritis	(AA)(ST_IY)(OW)(AA_R)(THR_AY)(T_AH_S)
osteopathic	(AA)(ST_IY)(AH)(P_AE)(TH_IH_K)
osteoporosis	(AO)(ST_IY)(AA)(P_ER)(OW)(S_IH_S)
oster	(AA)(ST_ER)
osterberg	(AA)(ST_ER)(B_ER_G)
ostergaard	(AA)(ST_ER)(G_AA_RD)
ostergard	(AA)(ST_ER)(G_ER_D)
ostergren	(AA)(ST_ER)(GR_EH_N)
osterhaus	(AA)(ST_ER)(HH_AW_S)
osterhoff	(OW)(ST_ER)(HH_AO_F)
osterholt	(AA)(ST_ER)(HH_OW_LT)
osterhoudt	(AA)(ST_ER)(HH_AW_T)
osterhout	(AA)(ST_ER)(HH_AW_T)
osterkamp	(AA)(ST_ER)(K_AE_MP)
osterling	(AA)(ST_ER)(L_IH_NG)
osterloh	(OW)(ST_EH_R)(L_OW)
osterlund	(AA)(ST_ER)(L_AH_ND)
osterman	(AA)(ST_ER)(M_AH_N)
ostermann	(AA)(ST_ER)(M_AH_N)
ostermeier	(AA)(ST_ER)(M_AY)(ER)
ostermeyer	(AA)(ST_ER)(M_AY)(ER)
ostermiller	(AA)(ST_ER)(M_IH)(L_ER)
osterreichische	(AO)(ST_ER)(R_AY)(K_IH)(SH_IY)
ostertag	(AA)(ST_ER)(T_AH_G)
osthoff	(AA_ST)(HH_AO_F)
ostia	(AA)(ST_IY)(AH)
ostin	(AA)(ST_AH_N)
ostinato	(AA)(ST_AH)(N_AA)(T_OW)
osting	(AA)(ST_IH_NG)
ostling	(AA)(S_AH)(L_IH_NG)
ostlund	(AA_ST)(L_AH_ND)
ostman	(AA_ST)(M_AH_N)
ostpolitik	(OW_ST)(P_OW)(L_IH)(T_IH_K)
ostracism	(AO)(STR_AH)(S_IH)(Z_AH_M)
ostracize	(AO)(STR_AH)(S_AY_Z)
ostracized	(AO)(STR_AH)(S_AY_ZD)
ostrand	(AA)(STR_AH_ND)
ostrander	(AA)(STR_AH_N)(D_ER)
ostrem	(AA)(STR_IH_M)
ostrich	(AO)(STR_IH_CH)
ostriches	(AA)(STR_IH)(CH_IH_Z)
ostroff	(AO)(STR_AO_F)
ostrogoth	(AA)(STR_AH)(G_AA_TH)
ostrogoths	(AA)(STR_AH)(G_AA_THS)
ostrom	(AA)(STR_AH_M)
ostroski	(AH)(STR_AW)(SK_IY)
ostrosky	(AH)(STR_OW)(SK_IY)
ostrow	(AA)(STR_AW)
ostrowski	(AH)(STR_AO_F)(SK_IY)
ostrowsky	(AH)(STR_AW)(SK_IY)
ostrum	(AA)(STR_AH_M)
ostwald	(AA_S)(TW_AH_LD)
osuch	(AA)(S_AH_K)
osullivan	(AA)(S_AH)(L_IH)(V_AH_N)
osuna	(OW)(S_UW)(N_AH)
oswald	(AO_Z)(W_AO_LD)
oswalt	(AA)(SW_AH_LT)
oswego	(AA)(SW_IY)(G_OW)
oswell	(AA)(SW_EH_L)
ot	(AO_T)
ota	(OW)(T_AH)
otaiba	(OW)(T_EY)(B_AH)
otani	(OW)(T_AA)(N_IY)
otello	(OW)(T_EH)(L_OW)
oteri	(OW)(T_EH)(R_IY)
otero	(OW)(T_EH)(R_OW)
otey	(OW)(T_IY)
otha	(AH)(DH_AA)
othello	(AH)(TH_EH)(L_OW)
other	(AH)(DH_ER)
otherness	(AH)(DH_ER)(N_AH_S)
others	(AH)(DH_ER_Z)
otherwise	(AH)(DH_ER)(W_AY_Z)
otherworldly	(AH)(DH_ER)(W_ER_LD)(L_IY)
othilia	(OW)(TH_IY)(L_IY)(AH)
othman	(AA_TH)(M_AH_N)
otis	(OW)(T_IH_S)
otmar	(AA_T)(M_AA_R)
otology	(OW)(T_AA)(L_AH)(JH_IY)
otomobil	(OW)(T_OW)(M_OW)(B_AH_L)
otoole	(AA)(T_UW_L)
otremba	(OW)(TR_EH_M)(B_AH)
otsego	(AA_T)(S_EY)(G_OW)
otsuka	(OW_T)(S_UW)(K_AH)
ott	(AA_T)
ottaviani	(OW)(T_AA)(V_IY)(AA)(N_IY)
ottaviano	(OW)(T_AA)(V_IY)(AA)(N_OW)
ottawa	(AA)(T_AH)(W_AA)
ottaway	(AA)(T_AH)(W_EY)
otte	(AA_T)
otten	(AA)(T_AH_N)
ottens	(AA)(T_AH_NZ)
otter	(AA)(T_ER)
otterbein	(AA)(T_ER)(B_AY_N)
otterloo	(AA)(T_ER)(L_UW)
otters	(AA)(T_ER_Z)
otterson	(AA)(T_ER)(S_AH_N)
ottesen	(AA)(T_IY)(Z_AH_N)
otteson	(AA)(T_IH)(S_AH_N)
ottilie	(AA)(T_AH)(L_IY)
otting	(AA)(T_IH_NG)
ottley	(AA_T)(L_IY)
ottman	(AA_T)(M_AH_N)
otto	(AA)(T_OW)
ottoman	(AA)(T_AH)(M_AH_N)
ottosen	(AA)(T_OW)(S_AH_N)
ottoson	(AA)(T_AH)(S_AH_N)
otts	(AA_TS)
ottum	(AA)(T_AH_M)
otwell	(AA)(TW_EH_L)
ou	(UW)
oubre	(UW)(B_ER)
ouch	(AW_CH)
ouderkirk	(AW)(D_ER)(K_ER_K)
ouelette	(AA)(UW)(L_EH_T)
ouellet	(AA)(UW)(L_IH_T)
ouellette	(AA)(UW)(L_EH_T)
ought	(AO_T)
oughta	(AO)(T_AH)
oui	(W_IY)
ouimet	(W_IY)(M_EH_T)
ouimette	(W_IY)(M_EH_T)
ounce	(AW_NS)
ounces	(AW_N)(S_AH_Z)
ounsted	(AW_N)(ST_EH_D)
our	(AW)(ER)
ourada	(OW)(UH)(R_AA)(D_AH)
ours	(AW)(ER_Z)
ourself	(AW)(ER)(S_EH_LF)
ourselves	(AW)(ER)(S_EH_LVZ)
ourso	(ER)(S_OW)
ousley	(AW)(SL_IY)
oust	(AW_ST)
ousted	(AW)(ST_IH_D)
ouster	(AW)(ST_ER)
ousting	(AW)(ST_IH_NG)
out	(AW_T)
outage	(AW)(T_AH_JH)
outages	(AW)(T_IH)(JH_IH_Z)
outback	(AW_T)(B_AE_K)
outbid	(AW_T)(B_IH_D)
outbidding	(AW_T)(B_IH)(D_IH_NG)
outboard	(AW_T)(B_AO_RD)
outbound	(AW_T)(B_AW_ND)
outbreak	(AW_T)(BR_EY_K)
outbreaks	(AW_T)(BR_EY_KS)
outburst	(AW_T)(B_ER_ST)
outbursts	(AW_T)(B_ER_STS)
outcalt	(AW_T)(K_AH_LT)
outcast	(AW_T)(K_AE_ST)
outcasts	(AW_T)(K_AE_STS)
outclass	(AW_T)(KL_AE_S)
outcome	(AW_T)(K_AH_M)
outcomes	(AW_T)(K_AH_MZ)
outcries	(AW_T)(KR_AY_Z)
outcry	(AW_T)(KR_AY)
outdate	(AW_T)(D_EY_T)
outdated	(AW_T)(D_EY)(T_IH_D)
outdid	(AW_T)(D_IH_D)
outdistancing	(AW_T)(D_IH)(ST_AH_N)(S_IH_NG)
outdo	(AW_T)(D_UW)
outdone	(AW_T)(D_AH_N)
outdoor	(AW_T)(D_AO_R)
outdoors	(AW_T)(D_AO_RZ)
outed	(AW)(T_AH_D)
outen	(AW)(T_AH_N)
outer	(AW)(T_ER)
outermost	(AW)(T_ER)(M_OW_ST)
outerwear	(AW)(T_ER)(W_EH_R)
outfield	(AW_T)(F_IY_LD)
outfielder	(AW_T)(F_IY_L)(D_ER)
outfielders	(AW_T)(F_IY_L)(D_ER_Z)
outfit	(AW_T)(F_IH_T)
outfits	(AW_T)(F_IH_TS)
outfitted	(AW_T)(F_IH)(T_IH_D)
outfitter	(AW_T)(F_IH)(T_ER)
outfitting	(AW_T)(F_IH)(T_IH_NG)
outflank	(AW_T)(FL_AE_NGK)
outflanked	(AW_T)(FL_AE_NGKT)
outflow	(AW_T)(FL_OW)
outflows	(AW_T)(FL_OW_Z)
outfox	(AW_T)(F_AA_KS)
outfoxed	(AW_T)(F_AA_KST)
outgain	(AW_T)(G_EY_N)
outgained	(AW_T)(G_EY_ND)
outgo	(AW_T)(G_OW)
outgoing	(AW_T)(G_OW)(IH_NG)
outgrew	(AW_T)(GR_UW)
outgrow	(AW_T)(GR_OW)
outgrowing	(AW_T)(GR_OW)(IH_NG)
outgrown	(AW_T)(GR_OW_N)
outgrowth	(AW_T)(GR_OW_TH)
outguess	(AW_T)(G_EH_S)
outgun	(AW_T)(G_AH_N)
outgunned	(AW_T)(G_AH_ND)
outhouse	(AW_T)(HH_AW_S)
outhouses	(AW_T)(HH_AW)(S_IH_Z)
outing	(AW)(T_IH_NG)
outings	(AW)(T_IH_NGZ)
outland	(AW_T)(L_AE_ND)
outlandish	(AW_T)(L_AE_N)(D_IH_SH)
outlast	(AW_T)(L_AE_ST)
outlasted	(AW_T)(L_AE)(ST_IH_D)
outlaw	(AW_T)(L_AO)
outlawed	(AW_T)(L_AO_D)
outlawing	(AW_T)(L_AO)(IH_NG)
outlawry	(AW_T)(L_AO)(R_IY)
outlaws	(AW_T)(L_AO_Z)
outlay	(AW_T)(L_EY)
outlays	(AW_T)(L_EY_Z)
outler	(AW)(T_AH)(L_ER)
outlet	(AW_T)(L_EH_T)
outlets	(AW_T)(L_EH_TS)
outley	(AW_T)(L_IY)
outlier	(AW_T)(L_AY)(ER)
outline	(AW_T)(L_AY_N)
outlined	(AW_T)(L_AY_ND)
outlines	(AW_T)(L_AY_NZ)
outlining	(AW_T)(L_AY)(N_IH_NG)
outlive	(AW_T)(L_IH_V)
outlived	(AW_T)(L_IH_VD)
outlook	(AW_T)(L_UH_K)
outlooks	(AW_T)(L_UH_KS)
outlying	(AW_T)(L_AY)(IH_NG)
outman	(AW_T)(M_AH_N)
outmaneuver	(AW_T)(M_AH)(N_UW)(V_ER)
outmaneuvered	(AW_T)(M_AH)(N_UW)(V_ER_D)
outmanned	(AW_T)(M_AE_ND)
outmode	(AW_T)(M_OW_D)
outmoded	(AW_T)(M_OW)(D_AH_D)
outnumber	(AW_T)(N_AH_M)(B_ER)
outnumbered	(AW_T)(N_AH_M)(B_ER_D)
outnumbering	(AW_T)(N_AH_M)(B_ER)(IH_NG)
outnumbers	(AW_T)(N_AH_M)(B_ER_Z)
outokumpu	(UW)(T_AH)(K_AH_M)(P_UW)
outpace	(AW_T)(P_EY_S)
outpaced	(AW_T)(P_EY_ST)
outpaces	(AW_T)(P_EY)(S_IH_Z)
outpacing	(AW_T)(P_EY)(S_IH_NG)
outpatient	(AW_T)(P_EY)(SH_AH_NT)
outperform	(AW_T)(P_ER)(F_AO_RM)
outperformance	(AW_T)(P_ER)(F_AO_R)(M_AH_NS)
outperformed	(AW_T)(P_ER)(F_AO_RMD)
outperformer	(AW_T)(P_ER)(F_AO_R)(M_ER)
outperforming	(AW_T)(P_ER)(F_AO_R)(M_IH_NG)
outperforms	(AW_T)(P_ER)(F_AO_RMZ)
outplacement	(AW_T)(PL_EY)(SM_AH_NT)
outpost	(AW_T)(P_OW_ST)
outposts	(AW_T)(P_OW_STS)
outpouch	(AW_T)(P_AW_CH)
outpouching	(AW_T)(P_AW)(CH_IH_NG)
outpour	(AW_T)(P_AO_R)
outpouring	(AW_T)(P_AO)(R_IH_NG)
output	(AW_T)(P_UH_T)
outputs	(AW_T)(P_UH_TS)
outrage	(AW)(TR_EY_JH)
outraged	(AW)(TR_EY_JHD)
outrageous	(AW)(TR_EY)(JH_AH_S)
outrageously	(AW)(TR_EY)(JH_AH)(SL_IY)
outrageousness	(AW)(TR_EY)(JH_AH)(SN_AH_S)
outrages	(AW)(TR_EY)(JH_IH_Z)
outraging	(AW)(TR_EY)(JH_IH_NG)
outreach	(AW)(TR_IY_CH)
outrider	(AW)(TR_AY)(D_ER)
outriders	(AW)(TR_AY)(D_ER_Z)
outrigger	(AW)(TR_IH)(G_ER)
outright	(AW)(TR_AY_T)
outrun	(AW)(TR_AH_N)
outs	(AW_TS)
outscore	(AW_T)(SK_AO_R)
outscored	(AW_T)(SK_AO_RD)
outsell	(AW_T)(S_EH_L)
outselling	(AW_T)(S_EH)(L_IH_NG)
outsells	(AW_T)(S_EH_LZ)
outset	(AW_T)(S_EH_T)
outshine	(AW)(CH_AY_N)
outshone	(AW_T)(SH_OW_N)
outside	(AW_T)(S_AY_D)
outsider	(AW_T)(S_AY)(D_ER)
outsiders	(AW_T)(S_AY)(D_ER_Z)
outsides	(AW_T)(S_AY_DZ)
outsize	(AW_T)(S_AY_Z)
outsized	(AW_T)(S_AY_ZD)
outskirt	(AW_T)(SK_ER_T)
outskirts	(AW_T)(SK_ER_TS)
outsmart	(AW_T)(SM_AA_RT)
outsold	(AW_T)(S_OW_LD)
outsource	(AW_T)(S_AO_RS)
outsourcing	(AW_T)(S_AO_R)(S_IH_NG)
outspend	(AW_T)(SP_EH_ND)
outspending	(AW_T)(SP_EH_N)(D_IH_NG)
outspent	(AW_T)(SP_EH_NT)
outspoken	(AW_T)(SP_OW)(K_AH_N)
outspokenness	(AW_T)(SP_OW)(K_AH)(N_AH_S)
outstanding	(AW_T)(ST_AE_N)(D_IH_NG)
outstretch	(AW_T)(STR_EH_CH)
outstretched	(AW_T)(STR_EH_CHT)
outstrip	(AW_T)(STR_IH_P)
outstripped	(AW_T)(STR_IH_PT)
outstripping	(AW_T)(STR_IH)(P_IH_NG)
outstrips	(AW_T)(STR_IH_PS)
outta	(UW)(T_AH)
outtake	(AW_T)(T_EY_K)
outtakes	(AW_T)(T_EY_KS)
outten	(AW)(T_AH_N)
outvote	(AW_T)(V_OW_T)
outvoted	(AW_T)(V_OW)(T_AH_D)
outward	(AW)(TW_ER_D)
outwardly	(AW)(TW_ER_D)(L_IY)
outwards	(AW)(TW_ER_DZ)
outweigh	(AW)(TW_EY)
outweighed	(AW)(TW_EY_D)
outweighing	(AW)(TW_EY)(IH_NG)
outweighs	(AW)(TW_EY_Z)
outwit	(AW)(TW_IH_T)
outwitting	(AW)(TW_IH)(T_IH_NG)
ouzts	(AW_ZTS)
oval	(OW)(V_AH_L)
ovalle	(AA)(V_EY_L)
ovarian	(OW)(V_EH)(R_IY)(AH_N)
ovaries	(OW)(V_ER)(IY_Z)
ovary	(OW)(V_ER)(IY)
ovate	(OW)(V_EY_T)
ovation	(OW)(V_EY)(SH_AH_N)
ovations	(OW)(V_EY)(SH_AH_NZ)
oven	(AH)(V_AH_N)
ovens	(AH)(V_AH_NZ)
over	(OW)(V_ER)
overabundance	(OW)(V_ER)(AH)(B_AH_N)(D_AH_NS)
overacker	(OW)(V_ER)(AH)(K_ER)
overact	(OW)(V_ER)(AE_KT)
overacted	(OW)(V_ER)(AE_K)(T_IH_D)
overactive	(OW)(V_ER)(AE_K)(T_IH_V)
overall	(OW)(V_ER)(AO_L)
overallotment	(OW)(V_ER)(AH)(L_AA_T)(M_AH_NT)
overallotments	(OW)(V_ER)(AH)(L_AA_T)(M_AH_NTS)
overalls	(OW)(V_ER)(AO_LZ)
overambitious	(OW)(V_ER)(AE_M)(B_IH)(SH_AH_S)
overarching	(OW)(V_ER)(AA_R)(CH_IH_NG)
overbaugh	(OW)(V_ER)(B_AO)
overbay	(OW)(V_ER)(B_EY)
overbearing	(OW)(V_ER)(B_EH)(R_IH_NG)
overbeck	(OW)(V_ER)(B_EH_K)
overbey	(OW)(V_ER)(B_IY)
overbilling	(OW)(V_ER)(B_IH)(L_IH_NG)
overblown	(OW)(V_ER)(BL_OW_N)
overboard	(OW)(V_ER)(B_AO_RD)
overbook	(OW)(V_ER)(B_UH_K)
overbooked	(OW)(V_ER)(B_UH_KT)
overbooking	(OW)(V_ER)(B_UH)(K_IH_NG)
overbought	(OW)(V_ER)(B_AO_T)
overbuilding	(OW)(V_ER)(B_IH_L)(D_IH_NG)
overbuilt	(OW)(V_ER)(B_IH_LT)
overburden	(OW)(V_ER)(B_ER)(D_AH_N)
overburdened	(OW)(V_ER)(B_ER)(D_AH_ND)
overbuy	(OW)(V_ER)(B_AY)
overby	(OW)(V_ER)(B_IY)
overcame	(OW)(V_ER)(K_EY_M)
overcapacity	(OW)(V_ER)(K_AH)(P_AE)(S_AH)(T_IY)
overcash	(OW)(V_ER)(K_AE_SH)
overcast	(OW)(V_ER)(K_AE_ST)
overcharge	(OW)(V_ER)(CH_AA_RJH)
overcharged	(OW)(V_ER)(CH_AA_RJHD)
overcharges	(OW)(V_ER)(CH_AA_R)(JH_IH_Z)
overcharging	(OW)(V_ER)(CH_AA_R)(JH_IH_NG)
overcoat	(OW)(V_ER)(K_OW_T)
overcoats	(OW)(V_ER)(K_OW_TS)
overcome	(OW)(V_ER)(K_AH_M)
overcomes	(OW)(V_ER)(K_AH_MZ)
overcoming	(OW)(V_ER)(K_AH)(M_IH_NG)
overconfidence	(OW)(V_ER)(K_AA_N)(F_IH)(D_AH_NS)
overconfident	(OW)(V_ER)(K_AA_N)(F_IH)(D_AH_NT)
overconsumption	(OW)(V_ER)(K_AH_N)(S_AH_MP)(SH_AH_N)
overcook	(OW)(V_ER)(K_UH_K)
overcooked	(OW)(V_ER)(K_UH_KT)
overcrowd	(OW)(V_ER)(KR_AW_D)
overcrowded	(OW)(V_ER)(KR_AW)(D_IH_D)
overcrowding	(OW)(V_ER)(KR_AW)(D_IH_NG)
overdamping	(OW)(V_ER)(D_AE_M)(P_IH_NG)
overdependence	(OW)(V_ER)(D_IH)(P_EH_N)(D_AH_NS)
overdid	(OW)(V_ER)(D_IH_D)
overdo	(OW)(V_ER)(D_UW)
overdoing	(OW)(V_ER)(D_UW)(IH_NG)
overdone	(OW)(V_ER)(D_AH_N)
overdorf	(OW)(V_ER)(D_AO_RF)
overdose	(OW)(V_ER)(D_OW_S)
overdosed	(OW)(V_ER)(D_OW_ST)
overdoses	(OW)(V_ER)(D_OW)(S_IH_Z)
overdraft	(OW)(V_ER)(DR_AE_FT)
overdrafting	(OW)(V_ER)(DR_AE_F)(T_IH_NG)
overdrafts	(OW)(V_ER)(DR_AE_FTS)
overdraw	(OW)(V_ER)(DR_AO)
overdrawn	(OW)(V_ER)(DR_AO_N)
overdress	(OW)(V_ER)(DR_EH_S)
overdrew	(OW)(V_ER)(DR_UW)
overdrive	(OW)(V_ER)(DR_AY_V)
overdue	(OW)(V_ER)(D_UW)
overeager	(OW)(V_ER)(IY)(G_ER)
overeat	(OW)(V_ER)(IY_T)
overeating	(OW)(V_ER)(IY)(T_IH_NG)
overemphasize	(OW)(V_ER)(EH_M)(F_AH)(S_AY_Z)
overestimate	(OW)(V_ER)(EH)(ST_AH)(M_EY_T)
overestimated	(OW)(V_ER)(EH)(ST_AH)(M_EY)(T_IH_D)
overestimates	(OW)(V_ER)(EH)(ST_AH)(M_EY_TS)
overestimating	(OW)(V_ER)(EH)(ST_AH)(M_EY)(T_IH_NG)
overexcite	(OW)(V_ER)(EH_K)(S_AY_T)
overexcited	(OW)(V_ER)(EH_K)(S_AY)(T_IH_D)
overexpansion	(OW)(V_ER)(IH_K)(SP_AE_N)(SH_AH_N)
overexpose	(OW)(V_ER)(IH_K)(SP_OW_Z)
overexposed	(OW)(V_ER)(IH_K)(SP_OW_ZD)
overexposure	(OW)(V_ER)(IH_K)(SP_OW)(ZH_ER)
overextend	(OW)(V_ER)(IH_K)(ST_EH_ND)
overextended	(OW)(V_ER)(IH_K)(ST_EH_N)(D_AH_D)
overextending	(OW)(V_ER)(IH_K)(ST_EH_N)(D_IH_NG)
overfed	(OW)(V_ER)(F_EH_D)
overfeed	(OW)(V_ER)(F_IY_D)
overfelt	(OW)(V_ER)(F_EH_LT)
overfield	(OW)(V_ER)(F_IY_LD)
overfill	(OW)(V_ER)(F_IH_L)
overfishing	(OW)(V_ER)(F_IH)(SH_IH_NG)
overflight	(OW)(V_ER)(FL_AY_T)
overflights	(OW)(V_ER)(FL_AY_TS)
overflow	(OW)(V_ER)(FL_OW)
overflowed	(OW)(V_ER)(FL_OW_D)
overflowing	(OW)(V_ER)(FL_OW)(IH_NG)
overflows	(OW)(V_ER)(FL_OW_Z)
overfly	(OW)(V_ER)(FL_AY)
overflying	(OW)(V_ER)(FL_AY)(IH_NG)
