a	(-AH0_)
kish	(K-IH1_SH)
kisha	(K-IH1_)(SH-AH0_)
kishbaugh	(K-IH1_SH)(B-AA0_W)
kishi	(K-IY1_Y)(SH-IY0_Y)
kisiel	(K-IH1_)(S-IY0_Y L)
kiska	(K-IH1_)(S K-AH0_)
kisler	(K-IH1_)(S-AH0_)(L-ER0_)
kisling	(K-IH1_)(S-AH0_)(L-IH0_NX)
kismayu	(K-IH0_)(S M-AA1_)(Y-UW0_W)
kismet	(K-IH1_Z)(M-IH0_T)
kismets	(K-IH1_Z)(M-IH0_T S)
kisner	(K-IH1_)(S N-ER0_)
kisor	(K-AA1_Y)(Z-ER0_)
kiss	(K-IH1_S)
kissack	(K-IH1_)(S-AH0_K)
kissam	(K-IH1_)(S-AH0_M)
kissane	(K-IH1_)(S-AH0_N)
kissed	(K-IH1_S T)
kissee	(K-IH1_)(S-IY1_Y)
kissel	(K-IH1_)(S-AH0_L)
kissell	(K-IH1_)(S-AH0_L)
kisser	(K-IH1_)(S-ER0_)
kisses	(K-IH1_)(S-AH0_Z)
kissick	(K-IH1_)(S-IH0_K)
kissimmee	(K-IH0_)(S-IH1_)(M-IY0_Y)
kissing	(K-IH1_)(S-IH0_NX)
kissinger	(K-IH1_)(S-IH0_N)(JH-ER0_)
kissler	(K-IH1_)(S L-ER0_)
kissling	(K-IH1_)(S L-IH0_NX)
kissner	(K-IH1_)(S N-ER0_)
kist	(K-IH1_S T)
kister	(K-IH1_)(S T-ER0_)
kistler	(K-IH1_S T)(L-ER0_)
kistner	(K-IH1_S T)(N-ER0_)
kiszczak	(K-IH1_)(Z-AE0_K)
kit	(K-IH1_T)
kita	(K-IY1_Y)(T-AH0_)
kitagawa	(K-IY0_Y)(T-AA0_)(G-AA1_)(W-AH0_)
kitajima	(K-IY2_Y)(T-AH0_)(JH-IY1_Y)(M-AH0_)
kitamura	(K-IY0_Y)(T-AA0_)(M-UH1_)(R-AH0_)
kitcat	(K-IH1_T)(K-AE2_T)
kitch	(K-IH1_CH)
kitchel	(K-IH1_)(CH-AH0_L)
kitchell	(K-IH1_)(CH-AH0_L)
kitchen	(K-IH1_)(CH-AH0_N)
kitchenaid	(K-IH1_)(CH-AH0_)(N-EY2_Y D)
kitchener	(K-IH1_)(CH-AH0_)(N-ER0_)
kitchenette	(K-IH2_)(CH-AH0_)(N-EH1_T)
kitchens	(K-IH1_)(CH-AH0_N Z)
kitchenware	(K-IH1_)(CH-AH0_N)(W-EH2_R)
kitchin	(K-IH1_)(CH-IH0_N)
kitching	(K-IH1_)(CH-IH0_NX)
kitchings	(K-IH1_)(CH-IH0_NX Z)
kite	(K-AA1_Y T)
kites	(K-AA1_Y T S)
kithcart	(K-IH1_TH)(K-AA2_R T)
kitimat	(K-IH1_)(T-IH0_)(M-AE0_T)
kiting	(K-AA1_Y)(T-IH0_NX)
kitner	(K-IH1_T)(N-ER0_)
kitowski	(K-IH0_)(T-AO1_F)(S K-IY0_Y)
kits	(K-IH1_T S)
kitsch	(K-IH1_CH)
kitson	(K-IH1_T)(S-AH0_N)
kitt	(K-IH1_T)
kittaneh	(K-IH0_)(T-AA1_)(N-EH2_)
kittel	(K-IH1_)(T-AH0_L)
kittell	(K-IH1_)(T-AH0_L)
kittelson	(K-IH1_)(T-IH0_L)(S-AH0_N)
kitten	(K-IH1_)(T-AH0_N)
kittens	(K-IH1_)(T-AH0_N Z)
kitterman	(K-IH1_)(T-ER0_)(M-AH0_N)
kittinger	(K-IH1_)(T-IH0_N)(G-ER0_)
kittiwake	(K-IH1_)(T-IH0_)(W-EY2_Y K)
kittle	(K-IH1_)(T-AH0_L)
kittler	(K-IH1_)(T-AH0_)(L-ER0_)
kittles	(K-IH1_)(T-AH0_L Z)
kittleson	(K-IH1_)(T-AH0_L)(S-AH0_N)
kittman	(K-IH1_T)(M-AH0_N)
kittner	(K-IH1_T)(N-ER0_)
kittredge	(K-IH1_)(T R-IH0_JH)
kittrell	(K-IH1_)(T R-AH0_L)
kitts	(K-IH1_T S)
kitty	(K-IH1_)(T-IY0_Y)
kitz	(K-IH1_T S)
kitzhaber	(K-IH1_T S)(HH-EY2_Y)(B-ER0_)
kitzman	(K-IH1_T)(S M-AH0_N)
kitzmiller	(K-IH1_T)(S M-IH2_)(L-ER0_)
kivela	(K-IH1_)(V-IH0_)(L-AH0_)
kivett	(K-IH1_)(V-IH0_T)
kivi	(K-IH1_)(V-IY0_Y)
kiwani	(K-IH0_)(W-AA1_)(N-IH0_)
kiwanis	(K-IH0_)(W-AA1_)(N-IH0_S)
kiwi	(K-IY1_Y)(W-IY0_Y)
kiwis	(K-IY1_Y)(W-IY0_Y Z)
kiyohida	(K-IY2_Y)(-OW0_W)(HH-IY1_Y)(D-AH0_)
kiyoshi	(K-IY0_Y)(-OW1_W)(SH-IY0_Y)
kiyotaka	(K-IY2_Y)(-OW0_W)(T-AA1_)(K-AH0_)
kizer	(K-AA1_Y)(Z-ER0_)
kizziah	(K-IH1_)(Z-IY0_Y)(-AH0_)
kjar	(K-AH0_)(JH-AA1_R)
kjell	(K Y-EH1_L)
kjellberg	(JH-EH1_L)(B-ER0_G)
kjenstad	(K Y-EH1_N)(S T-AE2_D)
kjos	(K-AH0_)(JH-AA1_S)
kkk	(K-EY1_Y)(K-EY1_Y)(K-EY1_Y)
klaas	(K L-AA1_S)
klaassen	(K L-AA1_)(S-AH0_N)
klabunde	(K L-AE1_)(B-AH0_N D)
kladstrup	(K L-AE1_D)(S T R-AH0_P)
klages	(K L-EY1_Y)(JH-IH0_Z)
klahn	(K L-AE1_N)
klahr	(K L-AE1_R)
klaiber	(K L-EY1_Y)(B-ER0_)
klamer	(K L-EY1_Y)(M-ER0_)
klamm	(K L-AE1_M)
klammer	(K L-AE1_)(M-ER0_)
klamon	(K L-EY1_Y)(M-AH0_N)
klan	(K L-AE1_N)
klang	(K L-AE1_NX)
klann	(K L-AE1_N)
klans	(K L-AE1_N Z)
klansmen	(K L-AE1_NZ)(M-AH0_N)
klapp	(K L-AE1_P)
klapper	(K L-AE1_)(P-ER0_)
klapperich	(K L-AE1_)(P-ER0_)(-IH0_K)
klar	(K L-AA1_R)
klare	(K L-EH1_R)
klarich	(K L-AE1_)(R-IH0_K)
klarman	(K L-AA1_R)(M-AH0_N)
klas	(K L-AE1_S)
klase	(K L-EY1_Y Z)
klasen	(K L-EY1_Y)(S-AH0_N)
klass	(K L-AE1_S)
klassen	(K L-AE1_)(S-AH0_N)
klatsky	(K L-AE1_T)(S K-IY0_Y)
klatt	(K L-AE1_T)
klauber	(K L-AA1_W)(B-ER0_)
klauer	(K L-AA1_W)(-ER0_)
klaus	(K L-AA1_W S)
klauser	(K L-AA1_W)(S-ER0_)
klausing	(K L-AA1_W)(S-IH0_NX)
klausner	(K L-AA1_W)(S N-ER0_)
klaver	(K L-EY1_Y)(V-ER0_)
klawitter	(K L-AO1_)(-IH0_)(T-ER0_)
klay	(K L-EY1_Y)
klayman	(K L-EY1_Y)(M-AH0_N)
kleban	(K L-EH1_)(B-AH0_N)
klebba	(K L-EH1_)(B-AH0_)
klebe	(K L-IY1_Y B)
kleber	(K L-IY1_Y)(B-ER0_)
kleck	(K L-EH1_K)
klecka	(K L-EH1_)(K-AH0_)
klecker	(K L-EH1_)(K-ER0_)
kleckner	(K L-EH1_K)(N-ER0_)
klee	(K L-IY1_Y)
kleeman	(K L-IY1_Y)(M-AH0_N)
kleen	(K L-IY1_Y N)
kleenex	(K L-IY1_Y)(N-AH0_K S)
kleer	(K L-IH1_R)
klees	(K L-IY1_Y Z)
kleffner	(K L-EH1_F)(N-ER0_)
kleiber	(K L-AA1_Y)(B-ER0_)
kleier	(K L-AA1_Y)(-ER0_)
kleiman	(K L-AA1_Y)(M-AH0_N)
klein	(K L-AA1_Y N)
kleinberg	(K L-AA1_Y N)(B-ER0_G)
kleindienst	(K L-AA1_Y N)(D-IY2_Y N S T)
kleine	(K L-AA1_Y N)
kleiner	(K L-AA1_Y)(N-ER0_)
kleinert	(K L-AA1_Y)(N-ER0_T)
kleinfeld	(K L-AA1_Y N)(F-EH2_L D)
kleinfelter	(K L-AA1_Y N)(F-IH0_L)(T-ER0_)
kleinhans	(K L-AA1_Y N)(HH-AH0_N Z)
kleinhenz	(K L-AA1_Y N)(HH-IH0_N S)
kleinknecht	(K L-AA1_Y NXK)(N-IH0_K T)
kleinman	(K L-AA1_Y N)(M-AH0_N)
kleinpaste	(K L-AA1_Y N)(P-EY2_Y S T)
kleinpeter	(K L-AA1_Y N)(P-IY0_Y)(T-ER0_)
kleinsasser	(K L-AA1_Y N)(S-AH0_)(S-ER0_)
kleinschmidt	(K L-AA1_Y NSH)(M-IH2_T)
kleinsmith	(K L-AA1_Y N)(S M-IH0_TH)
kleinwort	(K L-AA1_Y N)(W-ER0_T)
kleis	(K L-AA1_Y Z)
kleiss	(K L-AA1_Y S)
kleist	(K L-AA1_Y S T)
klejna	(K L-EY1_Y)(N-ER0_)
klem	(K L-EH1_M)
klema	(K L-EH1_)(M-AH0_)
kleman	(K L-EH1_)(M-AH0_N)
klemann	(K L-EH1_)(M-AH0_N)
klemens	(K L-EH1_)(M-AH0_N S)
klement	(K L-EH1_)(M-AH0_N T)
klemm	(K L-EH1_M)
klemme	(K L-EH1_M)
klemmer	(K L-EH1_)(M-ER0_)
klemp	(K L-EH1_M P)
klempner	(K L-EH1_M P)(N-ER0_)
klemz	(K L-EH1_M Z)
klenge	(K L-EH1_N JH)
klenk	(K L-EH1_NX K)
klenke	(K L-EH1_NX K)
klensch	(K L-EH1_N SH)
klepac	(K L-EH1_)(P-AH0_K)
klepfer	(K L-EH1_P)(F-ER0_)
kleppe	(K L-EH1_P)
klepper	(K L-EH1_)(P-ER0_)
kleppinger	(K L-EH1_)(P-IH0_NX)(G-ER0_)
klerk	(K L-ER1_K)
klesch	(K L-EH1_SH)
klesken	(K L-EH1_)(S K-AH0_N)
kless	(K L-EH1_S)
klett	(K L-EH1_T)
kleve	(K L-IY1_Y V)
kleven	(K L-IY1_Y)(V-AH0_N)
klever	(K L-EH1_)(V-ER0_)
kley	(K L-EY1_Y)
klezmer	(K L-EH1_Z)(M-ER0_)
klich	(K L-IH1_CH)
klick	(K L-IH1_K)
kliebert	(K L-IY1_Y)(B-ER0_T)
klieg	(K L-IY1_Y G)
klieman	(K L-AA1_Y)(M-AH0_N)
klier	(K L-AA1_Y)(-ER0_)
kliethermes	(K L-IY1_Y)(TH-ER0_M Z)
kliewer	(K L-IY1_Y)(W-ER0_)
kligman	(K L-IH1_G)(M-AH0_N)
klim	(K L-IH1_M)
klima	(K L-AA1_Y)(M-AH0_)
klimas	(K L-AA1_Y)(M-AH0_Z)
klimaszewski	(K L-IH0_)(M-AH0_)(SH-EH1_F)(S K-IY0_Y)
klimczak	(K L-IH1_M)(CH-AE0_K)
klimek	(K L-IH1_)(M-IH0_K)
kliment	(K L-AA1_Y)(M-AH0_N T)
klimer	(K L-IH1_)(M-ER0_)
klimowicz	(K L-IH1_)(M-AH0_)(V-IH0_CH)
klinck	(K L-IH1_NX K)
klindt	(K L-IH1_N T)
klindworth	(K L-IH1_N)(D W-ER0_TH)
kline	(K L-AA1_Y N)
klinedinst	(K L-IH1_)(N-IH0_)(D-IH0_N S T)
klinefelter	(K L-IH1_)(N-IH0_)(F-IH0_L)(T-ER0_)
kling	(K L-IH1_NX)
klingaman	(K L-IH1_NX)(G-AH0_)(M-AH0_N)
klingbeil	(K L-IH1_NX)(B-AA0_Y L)
klingberg	(K L-IH1_NX)(B-ER0_G)
klinge	(K L-IH1_N JH)
klingel	(K L-IH1_NX)(G-AH0_L)
klingenberg	(K L-IH1_N)(G-AH0_N)(B-ER0_G)
klingensmith	(K L-IH1_NX)(G-IH0_N)(S M-IH0_TH)
klinger	(K L-IH1_N)(G-ER0_)
klingerman	(K L-IH1_N)(G-ER0_)(M-AH0_N)
klinghoffer	(K L-IH1_NX)(HH-AO2_)(F-ER0_)
klingler	(K L-IH1_NX)(G-AH0_)(L-ER0_)
klingman	(K L-IH1_NX)(M-AH0_N)
klingon	(K L-IH1_NX)(G-AH0_N)
klink	(K L-IH1_NX K)
klinke	(K L-IH1_NX K)
klinker	(K L-IH1_NX)(K-ER0_)
klinkhammer	(K L-IH1_NXK)(HH-AE0_)(M-ER0_)
klinkner	(K L-IH1_NXK)(N-ER0_)
klint	(K L-IH1_N T)
klintworth	(K L-IH1_N)(T W-ER0_TH)
klinzing	(K L-IH1_N)(Z-IH0_NX)
klipfel	(K L-IH1_P)(F-AH0_L)
klipp	(K L-IH1_P)
klippel	(K L-IH1_)(P-AH0_L)
klish	(K L-IH1_SH)
klitz	(K L-IH1_T S)
klitzke	(K L-IH1_T)(S K-IY0_Y)
klixshavich	(K L-IH0_K)(S-AE1_)(V-IH0_CH)
kloberdanz	(K L-AA1_)(B-ER0_)(D-AH0_N S)
kloc	(K L-AA1_K)
klocek	(K L-OW1_W)(S-IH0_K)
klock	(K L-AA1_K)
klocke	(K L-AA1_K)
kloeckner	(K L-OW1_W K)(N-ER0_)
kloehn	(K L-OW1_W N)
kloepfer	(K L-OW1_W P)(F-ER0_)
kloeppel	(K L-OW1_W)(P-AH0_L)
kloepper	(K L-OW1_W)(P-ER0_)
kloiber	(K L-OW1_Y)(B-ER0_)
klom	(K L-AO1_M)
klomp	(K L-AA1_M P)
klondike	(K L-AA1_N)(D-AA2_Y K)
klonowski	(K L-AH0_)(N-AO1_F)(S K-IY0_Y)
klontz	(K L-AA1_N T S)
kloos	(K L-UW1_W Z)
klooster	(K L-UW1_W)(S T-ER0_)
kloosterman	(K L-UW1_W)(S T-ER0_)(M-AH0_N)
klopf	(K L-AA1_P F)
klopfenstein	(K L-AA1_P)(F-AH0_N)(S T-AA0_Y N)
klopfer	(K L-AA1_P)(F-ER0_)
klopp	(K L-AA1_P)
kloppenburg	(K L-AA1_)(P-AH0_N)(B-ER0_G)
klos	(K L-AA1_S)
klose	(K L-OW1_W Z)
klosinski	(K L-AH0_)(S-IH1_N)(S K-IY0_Y)
klosowski	(K L-AH0_)(S-AO1_F)(S K-IY0_Y)
kloss	(K L-AO1_S)
klossner	(K L-AA1_)(S N-ER0_)
kloster	(K L-AO1_)(S T-ER0_)
klosterman	(K L-AA1_)(S T-ER0_)(M-AH0_N)
klostermann	(K L-AA1_)(S T-ER0_)(M-AH0_N)
kloth	(K L-AA1_TH)
klotz	(K L-AA1_T S)
klotzbach	(K L-AA1_T S)(B-AA0_K)
klucevsek	(K L-UW0_W)(S-EH1_V)(S-EH0_K)
kluck	(K L-AH1_K)
kludt	(K L-AH1_D T)
kluender	(K L-UH1_N)(D-ER0_)
kluesner	(K L-UH1_)(S N-ER0_)
kluever	(K L-UH1_)(V-ER0_)
klug	(K L-AH1_G)
kluge	(K L-UW1_W JH)
kluger	(K L-UW1_W)(G-ER0_)
klugh	(K L-AH1_)
klugman	(K L-AH1_G)(M-AH0_N)
klugt	(K L-AH1_T)
klukas	(K L-UW1_W)(K-AH0_Z)
klumb	(K L-AH1_M)
klump	(K L-AH1_M P)
klumpp	(K L-AH1_M P)
klunder	(K L-AH1_N)(D-ER0_)
klundt	(K L-AH1_N T)
klunk	(K L-AH1_NX K)
klus	(K L-AH1_S)
klusman	(K L-AH1_)(S M-AH0_N)
klute	(K L-UW1_W T)
kluth	(K L-UW1_W TH)
klutts	(K L-AH1_T S)
kluttz	(K L-AH1_T S)
klutz	(K L-AH1_T S)
klutznick	(K L-AH1_T)(S N-IH0_K)
kluver	(K L-UW1_W)(V-ER0_)
kluwer	(K L-UW1_W)(W-ER0_)
klux	(K L-AH1_K S)
klym	(K L-IH1_M)
klynveld	(K L-IH1_N)(V-EH2_L D)
kmart	(K-EY1_Y)(M-AA2_R T)
kmetz	(K-AH0_)(M-EH1_T S)
kmiec	(K-AH0_)(M-IY1_Y K)
kmiecik	(K-AH0_)(M-IY1_Y)(CH-IH0_K)
knaack	(N-AA1_K)
knaak	(N-AA1_K)
knab	(N-AE1_B)
knabb	(N-AE1_B)
knabe	(N-EY1_Y B)
knable	(N-EY1_Y)(B-AH0_L)
knack	(N-AE1_K)
knacks	(N-AE1_K S)
knackstedt	(N-AE1_K)(S T-IH0_T)
knaggs	(N-AE1_G Z)
knape	(N-EY1_Y P)
knapik	(N-AE1_)(P-IH0_K)
knapke	(N-EY1_Y P K)
knapp	(N-AE1_P)
knappenberger	(N-AE1_)(P-AH0_N)(B-ER0_)(G-ER0_)
knapper	(N-AE1_)(P-ER0_)
knapsack	(N-AE1_P)(S-AE2_K)
knapton	(N-AE1_P)(T-AH0_N)
knarr	(N-AE1_R)
knaub	(N-AO1_B)
knauer	(N-AA1_W)(-ER0_)
knauf	(N-AO1_F)
knauff	(N-AO1_F)
knaup	(N-AO1_P)
knaus	(N-AO1_Z)
knauss	(N-AO1_S)
knave	(N-EY1_Y V)
knaves	(N-EY1_Y V Z)
knbc	(K-EY1_Y)(-EH1_N)(B-IY1_Y)(S-IY1_Y)
knead	(N-IY1_Y D)
kneading	(N-IY1_Y)(D-IH0_NX)
kneafsey	(N-IY1_Y F)(S-IY0_Y)
kneale	(N-IY1_L)
knebel	(N-EH1_)(B-AH0_L)
knecht	(N-EH1_K T)
knechtel	(N-EH1_K)(T-AH0_L)
knee	(N-IY1_Y)
kneebone	(N-IY1_Y)(B-OW2_W N)
kneecap	(N-IY1_Y)(K-AE2_P)
kneecaps	(N-IY1_Y)(K-AE2_P S)
kneece	(N-IY1_Y S)
kneed	(N-IY1_Y D)
kneel	(N-IY1_L)
kneeland	(N-IY1_Y)(L-AH0_N D)
kneeling	(N-IY1_Y)(L-IH0_NX)
kneer	(N-IH1_R)
knees	(N-IY1_Y Z)
kneip	(N-IY1_Y P)
kneisel	(N-AA1_Y)(S-AH0_L)
kneisley	(N-IY1_Y)(S L-IY0_Y)
knell	(N-EH1_L)
kneller	(N-EH1_)(L-ER0_)
knelt	(N-EH1_L T)
knepp	(N-EH1_P)
knepper	(N-EH1_)(P-ER0_)
knerr	(N-EH1_R)
kness	(N-EH1_S)
knesset	(N-EH1_)(S-AH0_T)
knew	(N-UW1_W)
knezevich	(N-EH1_)(Z-IH0_)(V-IH0_CH)
knicely	(N-AA1_Y)(S L-IY0_Y)
knick	(N-IH1_K)
knicker	(N-IH1_)(K-ER0_)
knickerbocker	(N-IH1_)(K-ER0_)(B-AA2_)(K-ER0_)
knickerbockered	(N-IH1_)(K-ER0_)(B-AA2_)(K-ER0_D)
knickerbockers	(N-IH1_)(K-ER0_)(B-AA2_)(K-ER0_Z)
knickers	(N-IH1_)(K-ER0_Z)
knickknack	(N-IH1_K)(N-AE2_K)
knickknacks	(N-IH1_K)(N-AE2_K S)
knicks	(N-IH1_K S)
knief	(N-IY1_Y F)
kniep	(N-IY1_Y P)
knieriem	(N-IY1_Y)(R-IY2_Y M)
knierim	(N-IH1_)(R-IH0_M)
knies	(N-AA1_Y Z)
kniess	(N-IY1_Y S)
knievel	(K-AH0_)(N-IY1_Y)(V-AH0_L)
knife	(N-AA1_Y F)
knifed	(N-AA1_Y F T)
knifelike	(N-AA1_Y)(F L-AA2_Y K)
knifepoint	(N-AA1_Y F)(P-OW2_Y N T)
kniffen	(N-IH1_)(F-AH0_N)
kniffin	(N-IH1_)(F-IH0_N)
knifing	(N-AA1_Y)(F-IH0_NX)
knifings	(N-AA1_Y)(F-IH0_NX Z)
knigge	(N-IH1_G)
knight	(N-AA1_Y T)
knighted	(N-AA1_Y)(T-IH0_D)
knighten	(N-AA1_Y)(T-AH0_N)
knighthood	(N-AA1_Y T)(HH-UH2_D)
knightly	(N-AA1_Y T)(L-IY0_Y)
knighton	(N-AA1_Y)(T-AH0_N)
knights	(N-AA1_Y T S)
knill	(N-IH1_L)
knin	(K-EY1_Y)(-EH1_)(N-AA1_Y)(-EH1_N)
knipe	(N-AA1_Y P)
knipfer	(N-IH1_P)(F-ER0_)
knipl	(N-IH1_)(P-AH0_L)
knipp	(N-IH1_P)
knippa	(N-IH1_)(P-AH0_)
knippel	(N-IH1_)(P-AH0_L)
knippenberg	(N-IH1_)(P-AH0_N)(B-ER0_G)
knipper	(N-IH1_)(P-ER0_)
knipple	(N-IH1_)(P-AH0_L)
knisely	(N-AA1_Y Z)(L-IY0_Y)
kniskern	(N-IH1_)(S K-ER0_N)
knisley	(N-IH1_)(S L-IY0_Y)
knispel	(N-IH1_)(S P-AH0_L)
kniss	(N-IH1_S)
knit	(N-IH1_T)
knits	(N-IH1_T S)
knitted	(N-IH1_)(T-AH0_D)
knittel	(N-IH1_)(T-AH0_L)
knitter	(N-IH1_)(T-ER0_)
knitting	(N-IH1_)(T-IH0_NX)
knittle	(N-IH1_)(T-AH0_L)
knitwear	(N-IH1_)(T W-EH2_R)
knives	(N-AA1_Y V Z)
kniveton	(N-AA1_Y V)(T-AH0_N)
knob	(N-AA1_B)
knobbe	(N-AA1_B)
knobby	(N-AA1_)(B-IY0_Y)
knobel	(N-OW1_W)(B-AH0_L)
knoblauch	(N-AA1_)(B L-AA0_W K)
knoble	(N-OW1_W)(B-AH0_L)
knobloch	(N-AA1_)(B L-AH0_K)
knoblock	(N-AA1_)(B L-AA0_K)
knobs	(N-AA1_B Z)
knoch	(N-AA1_K)
knoche	(N-AA1_CH)
knochel	(N-AA1_)(K-AH0_L)
knock	(N-AA1_K)
knockdown	(N-AA1_K)(D-AA2_W N)
knocked	(N-AA1_K T)
knocking	(N-AA1_)(K-IH0_NX)
knockoff	(N-AA1_)(K-AO2_F)
knockoffs	(N-AA1_)(K-AO2_F S)
knockout	(N-AA1_)(K-AA2_W T)
knocks	(N-AA1_K S)
knode	(N-OW1_W D)
knodel	(N-OW1_W)(D-AH0_L)
knodle	(N-OW1_W)(D-AH0_L)
knoebel	(N-OW1_W)(B-AH0_L)
knoedler	(N-OW1_W)(D-AH0_)(L-ER0_)
knoell	(N-OW1_W L)
knoff	(N-AO1_F)
knogo	(N-OW1_W)(G-OW0_W)
knoke	(N-OW1_W K)
knoles	(N-OW1_W L Z)
knoll	(N-OW1_W L)
knoop	(N-UW1_W P)
knop	(N-AA1_P)
knope	(N-OW1_W P)
knopf	(N-AA1_P F)
knopp	(N-AA1_P)
knorr	(N-AO1_R)
knost	(N-AA1_S T)
knot	(N-AA1_T)
knotek	(N-OW1_W)(T-IH0_K)
knoth	(N-AA1_TH)
knots	(N-AA1_T S)
knott	(N-AA1_T)
knotted	(N-AA1_)(T-IH0_D)
knotts	(N-AA1_T S)
knotty	(N-AA1_)(T-IY0_Y)
knouff	(N-OW1_W F)
knous	(N-AO1_S)
knouse	(N-AA1_W S)
know	(N-OW1_W)
knowed	(N-OW1_W D)
knower	(N-OW1_W)(-ER0_)
knowing	(N-OW1_W)(-IH0_NX)
knowingly	(N-OW1_W)(-IH0_N)(G L-IY0_Y)
knowledge	(N-AA1_)(L-AH0_JH)
knowledgeable	(N-AA1_)(L-AH0_)(JH-AH0_)(B-AH0_L)
knowledgeably	(N-AA1_)(L-IH0_)(JH-AH0_)(B L-IY0_Y)
knowledgeware	(N-AA1_)(L-IH0_JH)(W-EH2_R)
knowles	(N-OW1_W L Z)
knowlton	(N-OW1_W L)(T-AH0_N)
known	(N-OW1_W N)
knowns	(N-OW1_W N Z)
knows	(N-OW1_W Z)
knox	(N-AA1_K S)
knoxville	(N-AA1_KS)(V-IH0_L)
knoy	(N-OW1_Y)
knuckle	(N-AH1_)(K-AH0_L)
knuckled	(N-AH1_)(K-AH0_L D)
knuckles	(N-AH1_)(K-AH0_L Z)
knudsen	(N-UW1_W D)(S-AH0_N)
knudson	(N-UW1_W D)(S-AH0_N)
knudtson	(N-UW1_W T)(S-AH0_N)
knueppel	(N-UW1_W)(P-AH0_L)
knupp	(N-AH1_P)
knust	(N-AH1_S T)
knut	(N-AH1_T)
knute	(N-UW1_W T)
knuth	(N-UW1_W TH)
knuts	(N-AH1_T S)
knutsen	(N-AH1_T)(S-AH0_N)
knutson	(N-UW1_W T)(S-AH0_N)
knutzen	(N-AH1_T)(Z-AH0_N)
ko	(K-OW1_W)
koala	(K-OW0_W)(-AA1_)(L-AH0_)
koalas	(K-OW0_W)(-AA1_)(L-AH0_Z)
koba	(K-OW1_W)(B-AH0_)
kobacker	(K-OW1_W)(B-AE2_)(K-ER0_)
kobak	(K-OW1_W)(B-AH0_K)
kobayashi	(K-OW2_W)(B-AA0_)(Y-AA1_)(SH-IY0_Y)
kobe	(K-OW1_W)(B-EY0_Y)
kobel	(K-OW1_W)(B-AH0_L)
kober	(K-OW1_W)(B-ER0_)
koberstein	(K-OW1_W)(B-ER0_)(S T-AA0_Y N)
kobes	(K-OW1_W B Z)
koble	(K-OW1_W)(B-AH0_L)
kobler	(K-OW1_W)(B-AH0_)(L-ER0_)
kobren	(K-AA1_)(B R-AH0_N)
kobrin	(K-AA1_)(B R-IH0_N)
kobs	(K-AA1_B Z)
kobus	(K-OW1_W)(B-AH0_S)
koby	(K-OW1_W)(B-IY0_Y)
kobylarz	(K-AH0_)(B-IH1_)(L-ER0_Z)
kobylinski	(K-AH0_)(B-IH0_)(L-IH1_N)(S K-IY0_Y)
kobza	(K-AA1_B)(Z-AH0_)
kocak	(K-OW1_W)(K-AH0_K)
koch	(K-AO1_CH)
kochan	(K-AA1_)(K-AH0_N)
kochanek	(K-AA1_)(K-AH0_)(N-IH0_K)
kochanowski	(K-AH0_)(HH-AH0_)(N-AO1_F)(S K-IY0_Y)
kochanski	(K-AH0_)(HH-AE1_N)(S K-IY0_Y)
kochel	(K-AA1_)(K-AH0_L)
kochendorfer	(K-AA1_)(K-IH0_N)(D-AO0_R)(F-ER0_)
kocher	(K-AO1_)(CH-ER0_)
kochevar	(K-AH0_)(HH-EH1_)(V-ER0_)
kochis	(K-AA1_)(K-IH0_S)
kochman	(K-AA1_K)(M-AH0_N)
koci	(K-OW1_W)(S-IY0_Y)
kocian	(K-OW1_W)(SH-AH0_N)
kociemba	(K-OW2_W)(S-IY0_Y)(-EH1_M)(B-AH0_)
kocinski	(K-AH0_)(CH-IH1_N)(S K-IY0_Y)
kociolek	(K-OW2_W)(S-IY0_Y)(-OW1_W)(L-EH0_K)
kocis	(K-OW1_W)(S-IH0_S)
kock	(K-AA1_K)
kocourek	(K-AH0_)(K-UH1_)(R-EH0_K)
kocsis	(K-AA1_K)(S-IH0_S)
kocur	(K-OW1_W)(K-ER0_)
kocurek	(K-AH0_)(K Y-UW1_W)(R-EH0_K)
kodacolor	(K-OW1_W)(D-AH0_)(K-AH2_)(L-ER0_)
kodak	(K-OW1_W)(D-AE2_K)
kodama	(K-OW0_W)(D-AA1_)(M-AH0_)
kodiak	(K-OW1_W)(D-IY0_Y)(-AE2_K)
kodo	(K-OW1_W)(D-OW0_W)
koebel	(K-OW1_W)(B-AH0_L)
koedinger	(K-OW1_W)(D-IH0_N)(G-ER0_)
koegel	(K-OW1_W)(G-AH0_L)
koegler	(K-OW1_W)(G-AH0_)(L-ER0_)
koehl	(K-OW1_W L)
koehler	(K-OW1_W)(L-ER0_)
koehn	(K-OW1_W N)
koehne	(K-OW1_W N)
koehnen	(K-OW1_W)(N-AH0_N)
koeki	(K-OW1_W)(K-IY0_Y)
koelle	(K-OW1_W L)
koeller	(K-OW1_W)(L-ER0_)
koelling	(K-OW1_W)(L-IH0_NX)
koelsch	(K-OW1_W L SH)
koelzer	(K-OW1_W L)(Z-ER0_)
koen	(K-OW1_W N)
koeneman	(K-AA1_)(-IY0_Y N)(M-AH0_N)
koenen	(K-OW1_W)(N-AH0_N)
koenig	(K-ER1_)(N-IH0_G)
koenigs	(K-ER1_)(N-IH0_G Z)
koenigsberg	(K-OW1_W)(N-IH0_G Z)(B-ER0_G)
