a	(-A0_)
enviscar	(-E0_N)(V-I0_S)(K-A0_R )
envisco	(-E0_N)(V-I0_S)(K-O0_)
envite	(-E0_N)(V-I0_)(T-E0_)
enviudar	(-E0_N)(V-I0_)(-U0_)(D-A0_R )
enviude	(-E0_N)(V-I0_)(-U0_)(D-E0_)
envoltorio	(-E0_N)(V-O0_L)(T-O0_)(R-I0_)(-O0_)
envoltura	(-E0_N)(V-O0_L)(T-U0_)(R-A0_)
envolvamos	(-E0_N)(V-O0_L)(V-A0_)(M-O0_S )
envolvedero	(-E0_N)(V-O0_L)(V-E0_)(D-E0_)(R-O0_)
envolvedor	(-E0_N)(V-O0_L)(V-E0_)(D-O0_R )
envolvemos	(-E0_N)(V-O0_L)(V-E0_)(M-O0_S )
envolvente	(-E0_N)(V-O0_L)(V-E0_N)(T-E0_)
envolver	(-E0_N)(V-O0_L)(V-E0_R )
envolverme	(-E0_N)(V-O0_L)(V-E0_R)(M-E0_)
envolvernos	(-E0_N)(V-O0_L)(V-E0_R)(N-O0_S )
envolverse	(-E0_N)(V-O0_L)(V-E0_R)(S-E0_)
envolverte	(-E0_N)(V-O0_L)(V-E0_R)(T-E0_)
envolverá	(-E0_N)(V-O0_L)(V-E0_)(R-A1_)
envolverán	(-E0_N)(V-O0_L)(V-E0_)(R-A1_N )
envolverás	(-E0_N)(V-O0_L)(V-E0_)(R-A1_S )
envolveré	(-E0_N)(V-O0_L)(V-E0_)(R-E1_)
envolvería	(-E0_N)(V-O0_L)(V-E0_)(R-I1_)(-A0_)
envolverían	(-E0_N)(V-O0_L)(V-E0_)(R-I1_)(-A0_N )
envolviendo	(-E0_N)(V-O0_L)(V-I0_)(-E0_N)(D-O0_)
envolviera	(-E0_N)(V-O0_L)(V-I0_)(-E0_)(R-A0_)
envolvieran	(-E0_N)(V-O0_L)(V-I0_)(-E0_)(R-A0_N )
envolviere	(-E0_N)(V-O0_L)(V-I0_)(-E0_)(R-E0_)
envolvieren	(-E0_N)(V-O0_L)(V-I0_)(-E0_)(R-E0_N )
envolvieron	(-E0_N)(V-O0_L)(V-I0_)(-E0_)(R-O0_N )
envolviese	(-E0_N)(V-O0_L)(V-I0_)(-E0_)(S-E0_)
envolviesen	(-E0_N)(V-O0_L)(V-I0_)(-E0_)(S-E0_N )
envolvimos	(-E0_N)(V-O0_L)(V-I0_)(M-O0_S )
envolviste	(-E0_N)(V-O0_L)(V-I0_S)(T-E0_)
envolvió	(-E0_N)(V-O0_L)(V-I0_)(-O1_)
envolví	(-E0_N)(V-O0_L)(V-I1_)
envolvía	(-E0_N)(V-O0_L)(V-I1_)(-A0_)
envolvíamos	(-E0_N)(V-O0_L)(V-I1_)(-A0_)(M-O0_S )
envolvían	(-E0_N)(V-O0_L)(V-I1_)(-A0_N )
envuelta	(-E0_N)(V-U0_)(-E0_L)(T-A0_)
envuelto	(-E0_N)(V-U0_)(-E0_L)(T-O0_)
envuelva	(-E0_N)(V-U0_)(-E0_L)(V-A0_)
envuelvan	(-E0_N)(V-U0_)(-E0_L)(V-A0_N )
envuelve	(-E0_N)(V-U0_)(-E0_L)(V-E0_)
envuelven	(-E0_N)(V-U0_)(-E0_L)(V-E0_N )
envuelvo	(-E0_N)(V-U0_)(-E0_L)(V-O0_)
envés	(-E0_N)(V-E1_S )
envíe	(-E0_N)(V-I1_)(-E0_)
envío	(-E0_N)(V-I1_)(-O0_)
enyerbar	(-E0_NY)(-E0_R)(B-A0_R )
enyerbe	(-E0_NY)(-E0_R)(B-E0_)
enyertar	(-E0_NY)(-E0_R)(T-A0_R )
enyesar	(-E0_NY)(-E0_)(S-A0_R )
enyescarse	(-E0_NY)(-E0_S)(K-A0_R)(S-E0_)
enyese	(-E0_NY)(-E0_)(S-E0_)
enyugar	(-E0_NY)(-U0_)(G-A0_R )
enyugo	(-E0_NY)(-U0_)(G-O0_)
enzainar	(-E0_N)(Z-A0_)(-I0_)(N-A0_R )
enzaine	(-E0_N)(Z-A0_)(-I0_)(N-E0_)
enzalamar	(-E0_N)(Z-A0_)(L-A0_)(M-A0_R )
enzalame	(-E0_N)(Z-A0_)(L-A0_)(M-E0_)
enzamarrado	(-E0_N)(Z-A0_)(M-A0_RR)(-A0_)(D-O0_)
enzarce	(-E0_N)(Z-A0_R)(S-E0_)
enzarcen	(-E0_N)(Z-A0_R)(S-E0_N )
enzarcé	(-E0_N)(Z-A0_R)(S-E1_)
enzarza	(-E0_N)(Z-A0_R)(Z-A0_)
enzarzan	(-E0_N)(Z-A0_R)(Z-A0_N )
enzarzar	(-E0_N)(Z-A0_R)(Z-A0_R )
enzarzarme	(-E0_N)(Z-A0_R)(Z-A0_R)(M-E0_)
enzarzarnos	(-E0_N)(Z-A0_R)(Z-A0_R)(N-O0_S )
enzarzarte	(-E0_N)(Z-A0_R)(Z-A0_R)(T-E0_)
enzarzo	(-E0_N)(Z-A0_R)(Z-O0_)
enzarzó	(-E0_N)(Z-A0_R)(Z-O1_)
enzima	(-E0_N)(Z-I0_)(M-A0_)
enzimático	(-E0_N)(Z-I0_)(M-A1_)(T-I0_)(K-O0_)
enzootia	(-E0_N)(Z-O0_)(-O0_)(T-I0_)(-A0_)
enzoquetar	(-E0_N)(Z-O0_)(-K0_)(-E0_)(T-A0_R )
enzurdece	(-E0_N)(Z-U0_R)(D-E0_)(S-E0_)
enzurdecer	(-E0_N)(Z-U0_R)(D-E0_)(S-E0_R )
enzurice	(-E0_N)(Z-U0_)(R-I0_)(S-E0_)
enzurizar	(-E0_N)(Z-U0_)(R-I0_)(Z-A0_R )
enzurronar	(-E0_N)(Z-U0_RR)(-O0_)(N-A0_R )
enzurrone	(-E0_N)(Z-U0_RR)(-O0_)(N-E0_)
enérgicamente	(-E0_)(N-E1_R X)(-I0_)(K-A0_)(M-E0_N)(T-E0_)
enérgico	(-E0_)(N-E1_R X)(-I0_)(K-O0_)
enésimo	(-E0_)(N-E1_)(S-I0_)(M-O0_)
eoceno	(-E0_)(-O0_)(S-E0_)(N-O0_)
eolio	(-E0_)(-O0_)(L-I0_)(-O0_)
eolito	(-E0_)(-O0_)(L-I0_)(T-O0_)
epa	(-E0_)(P-A0_)
epacta	(-E0_)(P-A0_K)(T-A0_)
epanadiplosis	(-E0_)(P-A0_)(N-A0_)(D-I0_P)(L-O0_)(S-I0_S )
epanalepsis	(-E0_)(P-A0_)(N-A0_)(L-E0_P)(S-I0_S )
epanortosis	(-E0_)(P-A0_)(N-O0_R)(T-O0_)(S-I0_S )
epazote	(-E0_)(P-A0_)(Z-O0_)(T-E0_)
eperlano	(-E0_)(P-E0_R)(L-A0_)(N-O0_)
epicarpio	(-E0_)(P-I0_)(K-A0_R)(P-I0_)(-O0_)
epicedio	(-E0_)(P-I0_)(S-E0_)(D-I0_)(-O0_)
epiceno	(-E0_)(P-I0_)(S-E0_)(N-O0_)
epicentro	(-E0_)(P-I0_)(S-E0_N T)(R-O0_)
epiceyo	(-E0_)(P-I0_)(S-E0_)(Y-O0_)
epiciclo	(-E0_)(P-I0_)(S-I0_K)(L-O0_)
epicicloide	(-E0_)(P-I0_)(S-I0_K)(L-O0_)(-I0_)(D-E0_)
epidemia	(-E0_)(P-I0_)(D-E0_)(M-I0_)(-A0_)
epidemial	(-E0_)(P-I0_)(D-E0_)(M-I0_)(-A0_L )
epidemicidad	(-E0_)(P-I0_)(D-E0_)(M-I0_)(S-I0_)(D-A0_D )
epidermis	(-E0_)(P-I0_)(D-E0_R)(M-I0_S )
epidiascopio	(-E0_)(P-I0_)(D-I0_)(-A0_S)(K-O0_)(P-I0_)(-O0_)
epidémico	(-E0_)(P-I0_)(D-E1_)(M-I0_)(K-O0_)
epidérmico	(-E0_)(P-I0_)(D-E1_R)(M-I0_)(K-O0_)
epifanía	(-E0_)(P-I0_)(F-A0_)(N-I1_)(-A0_)
epifito	(-E0_)(P-I0_)(F-I0_)(T-O0_)
epifonema	(-E0_)(P-I0_)(F-O0_)(N-E0_)(M-A0_)
epigastrio	(-E0_)(P-I0_)(G-A0_S T)(R-I0_)(-O0_)
epigeo	(-E0_)(P-I0_X)(-E0_)(-O0_)
epiglosis	(-E0_)(P-I0_G)(L-O0_)(S-I0_S )
epiglotis	(-E0_)(P-I0_G)(L-O0_)(T-I0_S )
epigrafista	(-E0_)(P-I0_G)(R-A0_)(F-I0_S)(T-A0_)
epigrafía	(-E0_)(P-I0_G)(R-A0_)(F-I1_)(-A0_)
epigrama	(-E0_)(P-I0_G)(R-A0_)(M-A0_)
epigramatario	(-E0_)(P-I0_G)(R-A0_)(M-A0_)(T-A0_)(R-I0_)(-O0_)
epigramatista	(-E0_)(P-I0_G)(R-A0_)(M-A0_)(T-I0_S)(T-A0_)
epigramista	(-E0_)(P-I0_G)(R-A0_)(M-I0_S)(T-A0_)
epigramático	(-E0_)(P-I0_G)(R-A0_)(M-A1_)(T-I0_)(K-O0_)
epigástrico	(-E0_)(P-I0_)(G-A1_S T)(R-I0_)(K-O0_)
epilense	(-E0_)(P-I0_)(L-E0_N)(S-E0_)
epilepsia	(-E0_)(P-I0_)(L-E0_P)(S-I0_)(-A0_)
epilogal	(-E0_)(P-I0_)(L-O0_)(G-A0_L )
epilogar	(-E0_)(P-I0_)(L-O0_)(G-A0_R )
epilogismo	(-E0_)(P-I0_)(L-O0_X)(-I0_S)(M-O0_)
epilogo	(-E0_)(P-I0_)(L-O0_)(G-O0_)
epiléptico	(-E0_)(P-I0_)(L-E1_P)(T-I0_)(K-O0_)
epinicio	(-E0_)(P-I0_)(N-I0_)(S-I0_)(-O0_)
epiquerema	(-E0_)(P-I0_)(-K0_)(-E0_)(R-E0_)(M-A0_)
epiqueya	(-E0_)(P-I0_)(-K0_)(-E0_)(Y-A0_)
epirota	(-E0_)(P-I0_)(R-O0_)(T-A0_)
episcopado	(-E0_)(P-I0_S)(K-O0_)(P-A0_)(D-O0_)
episcopal	(-E0_)(P-I0_S)(K-O0_)(P-A0_L )
episcopalismo	(-E0_)(P-I0_S)(K-O0_)(P-A0_)(L-I0_S)(M-O0_)
episcopio	(-E0_)(P-I0_S)(K-O0_)(P-I0_)(-O0_)
episcopologio	(-E0_)(P-I0_S)(K-O0_)(P-O0_)(L-O0_X)(-I0_)(-O0_)
episodio	(-E0_)(P-I0_)(S-O0_)(D-I0_)(-O0_)
epistaxis	(-E0_)(P-I0_S)(T-A0_X)(-I0_S )
epistolar	(-E0_)(P-I0_S)(T-O0_)(L-A0_R )
epistolario	(-E0_)(P-I0_S)(T-O0_)(L-A0_)(R-I0_)(-O0_)
epistolero	(-E0_)(P-I0_S)(T-O0_)(L-E0_)(R-O0_)
epistolio	(-E0_)(P-I0_S)(T-O0_)(L-I0_)(-O0_)
epitafio	(-E0_)(P-I0_)(T-A0_)(F-I0_)(-O0_)
epitalamio	(-E0_)(P-I0_)(T-A0_)(L-A0_)(M-I0_)(-O0_)
epitelial	(-E0_)(P-I0_)(T-E0_)(L-I0_)(-A0_L )
epitelio	(-E0_)(P-I0_)(T-E0_)(L-I0_)(-O0_)
epitelioma	(-E0_)(P-I0_)(T-E0_)(L-I0_)(-O0_)(M-A0_)
epitimar	(-E0_)(P-I0_)(T-I0_)(M-A0_R )
epitime	(-E0_)(P-I0_)(T-I0_)(M-E0_)
epitomar	(-E0_)(P-I0_)(T-O0_)(M-A0_R )
epitome	(-E0_)(P-I0_)(T-O0_)(M-E0_)
epizootia	(-E0_)(P-I0_)(Z-O0_)(-O0_)(T-I0_)(-A0_)
epizoótico	(-E0_)(P-I0_)(Z-O0_)(-O1_)(T-I0_)(K-O0_)
epopeya	(-E0_)(P-O0_)(P-E0_)(Y-A0_)
epsomita	(-E0_P)(S-O0_)(M-I0_)(T-A0_)
epígrafe	(-E0_)(P-I1_G)(R-A0_)(F-E0_)
epílogo	(-E0_)(P-I1_)(L-O0_)(G-O0_)
epístola	(-E0_)(P-I1_S)(T-O0_)(L-A0_)
epíteto	(-E0_)(P-I1_)(T-E0_)(T-O0_)
epítome	(-E0_)(P-I1_)(T-O0_)(M-E0_)
equidad	(-E0_)(-K0_)(-I0_)(D-A0_D )
equidiferencia	(-E0_)(-K0_)(-I0_)(D-I0_)(F-E0_)(R-E0_N)(S-I0_)(-A0_)
equidistante	(-E0_)(-K0_)(-I0_)(D-I0_S)(T-A0_N)(T-E0_)
equidistar	(-E0_)(-K0_)(-I0_)(D-I0_S)(T-A0_R )
equidiste	(-E0_)(-K0_)(-I0_)(D-I0_S)(T-E0_)
equidna	(-E0_)(-K0_)(-I0_D)(N-A0_)
equilibra	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-A0_)
equilibran	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-A0_N )
equilibrar	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-A0_R )
equilibrarlo	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-A0_R)(L-O0_)
equilibre	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-E0_)
equilibren	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-E0_N )
equilibrio	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-I0_)(-O0_)
equilibrismo	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-I0_S)(M-O0_)
equilibrista	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-I0_S)(T-A0_)
equilibro	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-O0_)
equilibrándolo	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-A1_N)(D-O0_)(L-O0_)
equilibrándome	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-A1_N)(D-O0_)(M-E0_)
equilibrándonos	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-A1_N)(D-O0_)(N-O0_S )
equilibrándote	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-A1_N)(D-O0_)(T-E0_)
equilibré	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-E1_)
equilibró	(-E0_)(-K0_)(-I0_)(L-I0_B)(R-O1_)
equimosis	(-E0_)(-K0_)(-I0_)(M-O0_)(S-I0_S )
equino	(-E0_)(-K0_)(-I0_)(N-O0_)
equinoccial	(-E0_)(-K0_)(-I0_)(N-O0_K)(S-I0_)(-A0_L )
equinoccio	(-E0_)(-K0_)(-I0_)(N-O0_K)(S-I0_)(-O0_)
equinococo	(-E0_)(-K0_)(-I0_)(N-O0_)(K-O0_)(K-O0_)
equinodermo	(-E0_)(-K0_)(-I0_)(N-O0_)(D-E0_R)(M-O0_)
equipa	(-E0_)(-K0_)(-I0_)(P-A0_)
equipal	(-E0_)(-K0_)(-I0_)(P-A0_L )
equipar	(-E0_)(-K0_)(-I0_)(P-A0_R )
equiparable	(-E0_)(-K0_)(-I0_)(P-A0_)(R-A0_B)(L-E0_)
equiparar	(-E0_)(-K0_)(-I0_)(P-A0_)(R-A0_R )
equipe	(-E0_)(-K0_)(-I0_)(P-E0_)
equipo	(-E0_)(-K0_)(-I0_)(P-O0_)
equipolado	(-E0_)(-K0_)(-I0_)(P-O0_)(L-A0_)(D-O0_)
equipolente	(-E0_)(-K0_)(-I0_)(P-O0_)(L-E0_N)(T-E0_)
equiponderancia	(-E0_)(-K0_)(-I0_)(P-O0_N)(D-E0_)(R-A0_N)(S-I0_)(-A0_)
equiponderar	(-E0_)(-K0_)(-I0_)(P-O0_N)(D-E0_)(R-A0_R )
equipondere	(-E0_)(-K0_)(-I0_)(P-O0_N)(D-E0_)(R-E0_)
equis	(-E0_)(-K0_)(-I0_S )
equiseto	(-E0_)(-K0_)(-I0_)(S-E0_)(T-O0_)
equisetíneo	(-E0_)(-K0_)(-I0_)(S-E0_)(T-I1_)(N-E0_)(-O0_)
equitación	(-E0_)(-K0_)(-I0_)(T-A0_)(S-I0_)(-O1_N )
equitativamente	(-E0_)(-K0_)(-I0_)(T-A0_)(T-I0_)(V-A0_)(M-E0_N)(T-E0_)
equitativo	(-E0_)(-K0_)(-I0_)(T-A0_)(T-I0_)(V-O0_)
equivale	(-E0_)(-K0_)(-I0_)(V-A0_)(L-E0_)
equivalente	(-E0_)(-K0_)(-I0_)(V-A0_)(L-E0_N)(T-E0_)
equivalentemente	(-E0_)(-K0_)(-I0_)(V-A0_)(L-E0_N)(T-E0_)(M-E0_N)(T-E0_)
equivaler	(-E0_)(-K0_)(-I0_)(V-A0_)(L-E0_R )
equivocadamente	(-E0_)(-K0_)(-I0_)(V-O0_)(K-A0_)(D-A0_)(M-E0_N)(T-E0_)
equivocar	(-E0_)(-K0_)(-I0_)(V-O0_)(K-A0_R )
equivoco	(-E0_)(-K0_)(-I0_)(V-O0_)(K-O0_)
equivoquista	(-E0_)(-K0_)(-I0_)(V-O0_)(-K0_)(-I0_S)(T-A0_)
equívoca	(-E0_)(-K0_)(-I1_)(V-O0_)(K-A0_)
equívoco	(-E0_)(-K0_)(-I1_)(V-O0_)(K-O0_)
era	(-E0_)(R-A0_)
eradicativo	(-E0_)(R-A0_)(D-I0_)(K-A0_)(T-I0_)(V-O0_)
eral	(-E0_)(R-A0_L )
erar	(-E0_)(R-A0_R )
erario	(-E0_)(R-A0_)(R-I0_)(-O0_)
erasmiano	(-E0_)(R-A0_S)(M-I0_)(-A0_)(N-O0_)
erasmismo	(-E0_)(R-A0_S)(M-I0_S)(M-O0_)
erasmista	(-E0_)(R-A0_S)(M-I0_S)(T-A0_)
erbio	(-E0_R)(B-I0_)(-O0_)
ercavicense	(-E0_R)(K-A0_)(V-I0_)(S-E0_N)(S-E0_)
ercer	(-E0_R)(S-E0_R )
ere	(-E0_)(R-E0_)
erebo	(-E0_)(R-E0_)(B-O0_)
erección	(-E0_)(R-E0_K)(S-I0_)(-O1_N )
erectilidad	(-E0_)(R-E0_K)(T-I0_)(L-I0_)(D-A0_D )
erecto	(-E0_)(R-E0_K)(T-O0_)
erector	(-E0_)(R-E0_K)(T-O0_R )
eremita	(-E0_)(R-E0_)(M-I0_)(T-A0_)
eremitorio	(-E0_)(R-E0_)(M-I0_)(T-O0_)(R-I0_)(-O0_)
eretismo	(-E0_)(R-E0_)(T-I0_S)(M-O0_)
erg	(-E0_R G )
ergio	(-E0_R X)(-I0_)(-O0_)
ergo	(-E0_R)(G-O0_)
ergonómico	(-E0_R)(G-O0_)(N-O1_)(M-I0_)(K-O0_)
ergotice	(-E0_R)(G-O0_)(T-I0_)(S-E0_)
ergotina	(-E0_R)(G-O0_)(T-I0_)(N-A0_)
ergotismo	(-E0_R)(G-O0_)(T-I0_S)(M-O0_)
ergotista	(-E0_R)(G-O0_)(T-I0_S)(T-A0_)
ergotizar	(-E0_R)(G-O0_)(T-I0_)(Z-A0_R )
ergotizo	(-E0_R)(G-O0_)(T-I0_)(Z-O0_)
erguir	(-E0_R)(G-I0_R )
erguís	(-E0_R)(G-I1_S )
erial	(-E0_)(R-I0_)(-A0_L )
erice	(-E0_)(R-I0_)(S-E0_)
ericen	(-E0_)(R-I0_)(S-E0_N )
ericáceo	(-E0_)(R-I0_)(K-A1_)(S-E0_)(-O0_)
ericé	(-E0_)(R-I0_)(S-E1_)
erige	(-E0_)(R-I0_X)(-E0_)
erigir	(-E0_)(R-I0_X)(-I0_R )
erijo	(-E0_)(R-I0_X)(-O0_)
erina	(-E0_)(R-I0_)(N-A0_)
eringe	(-E0_)(R-I0_N X)(-E0_)
eriotecnia	(-E0_)(R-I0_)(-O0_)(T-E0_K)(N-I0_)(-A0_)
erisipelar	(-E0_)(R-I0_)(S-I0_)(P-E0_)(L-A0_R )
erisipelatoso	(-E0_)(R-I0_)(S-I0_)(P-E0_)(L-A0_)(T-O0_)(S-O0_)
erisipele	(-E0_)(R-I0_)(S-I0_)(P-E0_)(L-E0_)
eritema	(-E0_)(R-I0_)(T-E0_)(M-A0_)
eritrea	(-E0_)(R-I0_T)(R-E0_)(-A0_)
eritreo	(-E0_)(R-I0_T)(R-E0_)(-O0_)
eritrocito	(-E0_)(R-I0_T)(R-O0_)(S-I0_)(T-O0_)
eriza	(-E0_)(R-I0_)(Z-A0_)
erizamiento	(-E0_)(R-I0_)(Z-A0_)(M-I0_)(-E0_N)(T-O0_)
erizan	(-E0_)(R-I0_)(Z-A0_N )
erizar	(-E0_)(R-I0_)(Z-A0_R )
erizarlo	(-E0_)(R-I0_)(Z-A0_R)(L-O0_)
erizarme	(-E0_)(R-I0_)(Z-A0_R)(M-E0_)
erizarnos	(-E0_)(R-I0_)(Z-A0_R)(N-O0_S )
erizarte	(-E0_)(R-I0_)(Z-A0_R)(T-E0_)
erizo	(-E0_)(R-I0_)(Z-O0_)
erizos	(-E0_)(R-I0_)(Z-O0_S )
erizó	(-E0_)(R-I0_)(Z-O1_)
ermar	(-E0_R)(M-A0_R )
ermita	(-E0_R)(M-I0_)(T-A0_)
ermitaño	(-E0_R)(M-I0_)(T-A0_NY)(-O0_)
ermitorio	(-E0_R)(M-I0_)(T-O0_)(R-I0_)(-O0_)
ermunio	(-E0_R)(M-U0_)(N-I0_)(-O0_)
ero	(-E0_)(R-O0_)
eroga	(-E0_)(R-O0_)(G-A0_)
erogan	(-E0_)(R-O0_)(G-A0_N )
erogar	(-E0_)(R-O0_)(G-A0_R )
erogo	(-E0_)(R-O0_)(G-O0_)
erogue	(-E0_)(R-O0_)(G-E0_)
erogué	(-E0_)(R-O0_)(G-E1_)
erogó	(-E0_)(R-O0_)(G-O1_)
erosionar	(-E0_)(R-O0_)(S-I0_)(-O0_)(N-A0_R )
erosivo	(-E0_)(R-O0_)(S-I0_)(V-O0_)
erosión	(-E0_)(R-O0_)(S-I0_)(-O1_N )
erotema	(-E0_)(R-O0_)(T-E0_)(M-A0_)
erotismo	(-E0_)(R-O0_)(T-I0_S)(M-O0_)
erotizante	(-E0_)(R-O0_)(T-I0_)(Z-A0_N)(T-E0_)
erraban	(-E0_RR)(-A0_)(B-A0_N )
errabundo	(-E0_RR)(-A0_)(B-U0_N)(D-O0_)
errada	(-E0_RR)(-A0_)(D-A0_)
erradamente	(-E0_RR)(-A0_)(D-A0_)(M-E0_N)(T-E0_)
erradicar	(-E0_RR)(-A0_)(D-I0_)(K-A0_R )
erradico	(-E0_RR)(-A0_)(D-I0_)(K-O0_)
erradizo	(-E0_RR)(-A0_)(D-I0_)(Z-O0_)
errado	(-E0_RR)(-A0_)(D-O0_)
erraj	(-E0_RR)(-A0_X )
errante	(-E0_RR)(-A0_N)(T-E0_)
errar	(-E0_RR)(-A0_R )
errata	(-E0_RR)(-A0_)(T-A0_)
erre	(-E0_RR)(-E0_)
error	(-E0_RR)(-O0_R )
errático	(-E0_RR)(-A1_)(T-I0_)(K-O0_)
erróneamente	(-E0_RR)(-O1_)(N-E0_)(-A0_)(M-E0_N)(T-E0_)
erróneo	(-E0_RR)(-O1_)(N-E0_)(-O0_)
erubescente	(-E0_)(R-U0_)(B-E0_S)(S-E0_N)(T-E0_)
eructar	(-E0_)(R-U0_K)(T-A0_R )
eructe	(-E0_)(R-U0_K)(T-E0_)
eructo	(-E0_)(R-U0_K)(T-O0_)
erudición	(-E0_)(R-U0_)(D-I0_)(S-I0_)(-O1_N )
eruditamente	(-E0_)(R-U0_)(D-I0_)(T-A0_)(M-E0_N)(T-E0_)
erudito	(-E0_)(R-U0_)(D-I0_)(T-O0_)
eruginoso	(-E0_)(R-U0_X)(-I0_)(N-O0_)(S-O0_)
erupción	(-E0_)(R-U0_P)(S-I0_)(-O1_N )
eruptivo	(-E0_)(R-U0_P)(T-I0_)(V-O0_)
erutar	(-E0_)(R-U0_)(T-A0_R )
erute	(-E0_)(R-U0_)(T-E0_)
ervato	(-E0_R)(V-A0_)(T-O0_)
ervilla	(-E0_R)(V-I0_LL)(-A0_)
eré	(-E0_)(R-E1_)
eréctil	(-E0_)(R-E1_K)(T-I0_L )
eró	(-E0_)(R-O1_)
erótico	(-E0_)(R-O1_)(T-I0_)(K-O0_)
es	(-E0_S )
esa	(-E0_)(S-A0_)
esbarar	(-E0_S)(B-A0_)(R-A0_R )
esbare	(-E0_S)(B-A0_)(R-E0_)
esbatimentar	(-E0_S)(B-A0_)(T-I0_)(M-E0_N)(T-A0_R )
esbatimente	(-E0_S)(B-A0_)(T-I0_)(M-E0_N)(T-E0_)
esbatimento	(-E0_S)(B-A0_)(T-I0_)(M-E0_N)(T-O0_)
esbelta	(-E0_S)(B-E0_L)(T-A0_)
esbeltez	(-E0_S)(B-E0_L)(T-E0_Z )
esbelto	(-E0_S)(B-E0_L)(T-O0_)
esbirro	(-E0_S)(B-I0_RR)(-O0_)
esblandecer	(-E0_S B)(L-A0_N)(D-E0_)(S-E0_R )
esboce	(-E0_S)(B-O0_)(S-E0_)
esbozar	(-E0_S)(B-O0_)(Z-A0_R )
esbozo	(-E0_S)(B-O0_)(Z-O0_)
esbrencar	(-E0_S B)(R-E0_NG)(K-A0_R )
esbrenco	(-E0_S B)(R-E0_NG)(K-O0_)
esca	(-E0_S)(K-A0_)
escabechar	(-E0_S)(K-A0_)(B-E0_)(CH-A0_R )
escabeche	(-E0_S)(K-A0_)(B-E0_)(CH-E0_)
escabechina	(-E0_S)(K-A0_)(B-E0_)(CH-I0_)(N-A0_)
escabel	(-E0_S)(K-A0_)(B-E0_L )
escabioso	(-E0_S)(K-A0_)(B-I0_)(-O0_)(S-O0_)
escabro	(-E0_S)(K-A0_B)(R-O0_)
escabrosamente	(-E0_S)(K-A0_B)(R-O0_)(S-A0_)(M-E0_N)(T-E0_)
escabrosear	(-E0_S)(K-A0_B)(R-O0_)(S-E0_)(-A0_R )
escabrosee	(-E0_S)(K-A0_B)(R-O0_)(S-E0_)(-E0_)
escabroso	(-E0_S)(K-A0_B)(R-O0_)(S-O0_)
escabulla	(-E0_S)(K-A0_)(B-U0_LL)(-A0_)
escabullan	(-E0_S)(K-A0_)(B-U0_LL)(-A0_N )
escabulle	(-E0_S)(K-A0_)(B-U0_LL)(-E0_)
escabullen	(-E0_S)(K-A0_)(B-U0_LL)(-E0_N )
escabullimiento	(-E0_S)(K-A0_)(B-U0_LL)(-I0_)(M-I0_)(-E0_N)(T-O0_)
escabullir	(-E0_S)(K-A0_)(B-U0_LL)(-I0_R )
escabullirme	(-E0_S)(K-A0_)(B-U0_LL)(-I0_R)(M-E0_)
escabullirnos	(-E0_S)(K-A0_)(B-U0_LL)(-I0_R)(N-O0_S )
escabullirte	(-E0_S)(K-A0_)(B-U0_LL)(-I0_R)(T-E0_)
escabullo	(-E0_S)(K-A0_)(B-U0_LL)(-O0_)
escabullí	(-E0_S)(K-A0_)(B-U0_LL)(-I1_)
escabullía	(-E0_S)(K-A0_)(B-U0_LL)(-I1_)(-A0_)
escabulló	(-E0_S)(K-A0_)(B-U0_LL)(-O1_)
escacado	(-E0_S)(K-A0_)(K-A0_)(D-O0_)
escachar	(-E0_S)(K-A0_)(CH-A0_R )
escacharra	(-E0_S)(K-A0_)(CH-A0_RR)(-A0_)
escacharran	(-E0_S)(K-A0_)(CH-A0_RR)(-A0_N )
escacharrar	(-E0_S)(K-A0_)(CH-A0_RR)(-A0_R )
escacharre	(-E0_S)(K-A0_)(CH-A0_RR)(-E0_)
escacharren	(-E0_S)(K-A0_)(CH-A0_RR)(-E0_N )
escacharro	(-E0_S)(K-A0_)(CH-A0_RR)(-O0_)
escacharré	(-E0_S)(K-A0_)(CH-A0_RR)(-E1_)
escacharró	(-E0_S)(K-A0_)(CH-A0_RR)(-O1_)
escache	(-E0_S)(K-A0_)(CH-E0_)
escachifollar	(-E0_S)(K-A0_)(CH-I0_)(F-O0_LL)(-A0_R )
escachifolle	(-E0_S)(K-A0_)(CH-I0_)(F-O0_LL)(-E0_)
escaece	(-E0_S)(K-A0_)(-E0_)(S-E0_)
escaecer	(-E0_S)(K-A0_)(-E0_)(S-E0_R )
